Product,Manufacturer,Status,Indication
Truxima(rituximab),Teva Canada Ltd.,Concluded with an LOI,"Rheumatoid arthritis, chronic lymphocytic leukemia, and non-Hodgkin’s lymphoma"
Vitrakvi(larotrectinib),Bayer Inc.,Negotiations were not pursued,Neurotrophic Tyrosine Receptor Kinase (NTRK) Locally Advanced or Metastatic Solid Tumours
Pomalyst(pomalidomide),Celgene Inc.,Negotiations were not pursued,Multiple Myeloma (Relapsed)
Idhifa(enasidenib),Celgene Inc.,Negotiations were not pursued,Acute Myeloid Leukemia (AML)
Revlimid(lenalidomide),Celgene Inc.,Concluded with an LOI,Multiple Myeloma
Sublocade(buprenorphine),Indivior UK Limited,Concluded with an LOI,Opioid Use Disorder
Cystadrops(cysteamine),Recordati Rare Diseases Canada Inc.,Concluded with an LOI,Corneal cystine crystal deposits
Libtayo(cemiplimab),Sanofi-Aventis Canada Inc.,Concluded with an LOI,Cutaneous Squamous Cell Carcinoma
Lenvima(lenvatinib),Eisai Limited,Concluded with an LOI,Hepatocellular Carcinoma (HCC) in adults after prior therapy
Darzalex(daratumumab),Janssen Inc.,Concluded with an LOI,Multiple Myeloma (newly diagnosed)
Lutathera(lutetium 177 dotatate),Advanced Accelerator Applications,Concluded without agreement,Gastroenteropancreatic neuroendocrine tumors (GEP-NETs)
Alunbrig(brigatinib),Takeda Canada Inc.,Negotiations were not pursued,Non-Squamous Non-Small Cell Lung Cancer
Ninlaro(ixazomib),Takeda Canada Inc.,Negotiations were not pursued,Multiple Myeloma
Verzenio(abemaciclib),Eli Lilly Canada Inc.,Concluded without agreement,Advanced or Metastatic Breast Cancer
Vizimpro(dacomitinib),Pfizer Canada ULC,Concluded without agreement,Non-Squamous Non-Small Cell Lung Cancer
Keytruda(pembrolizumab),Merck Canada Inc.,Negotiations were not pursued,Metastatic Urothelial Carcinoma (first line)
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,Melanoma adjuvant therapy
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,Non-Squamous Non-Small Cell Lung Cancer
Venclexta/rituximab(venetoclax/rituximab),AbbVie Corporation,Concluded with an LOI,In combination with rituximab (V+R) is indicated for the treatment of adult patients with chronic lymphocytic leukemia (CLL) who have received at least one prior therapy
Xalkori(crizotinib),Pfizer Canada ULC,Concluded with an LOI,ROS1-positive advanced Non-Small Cell Lung Cancer
Ibrance/fulvestrant(palbociclib/fulvestrant),Pfizer Canada ULC,Concluded with an LOI,Advanced or Metastatic Breast Cancer
Imfinzi(durvalumab),AstraZeneca Canada Inc.,Concluded with an LOI,Non-small Cell Lung Cancer
Tafinlar/Mekinist(dabrafenib/trametinib),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Melanoma adjuvant therapy
Trazimera(trastuzumab),Pfizer Canada ULC,Concluded with an LOI,"Early breast cancer, Metastatic breast cancer, Metastatic gastric cancer"
Herzuma(trastuzumab),Teva Canada Ltd.,Concluded with an LOI,"Early breast cancer, Metastatic breast cancer, Metastatic gastric cancer"
Ogivri(trastuzumab),BGP Pharma ULC,Concluded with an LOI,"Early breast cancer, Metastatic breast cancer, Metastatic gastric cancer"
Opsumit(macitentan),Actelion Pharmaceuticals Ltd.,Concluded with an LOI,Pulmonary Arterial Hypertension
Brilinta(ticagrelor),AstraZeneca Canada Inc.,Concluded with an LOI,Secondary Prevention of Atherothrombotic Events
Triamcinolone Hexacetonide(triamcinolone hexacetonide),"Medexus Pharmaceuticals, Inc.",Concluded with an LOI,Rheumatoid Arthritis
Skyrizi(risankizumab),AbbVie Corporation,Concluded with an LOI,"Psoriasis, moderate to severe plaque"
Vyzulta(latanoprostene bunod),"Bausch Health, Canada Inc.",Concluded with an LOI,Open-angle Glaucoma
Blincyto(blinatumomab),Amgen Canada Inc.,Concluded with an LOI,Philadelphia chromosome positive (Ph+) B-cell precursor (BCP) acute lymphoblastic leukemia (ALL)
Folotyn(pralatrexate),Servier Canada Inc.,Concluded with an LOI,Peripheral T-cell Lymphoma (PTCL)
Botox(onabotulinumtoxin a),Allergan Inc.,Concluded without agreement,"Migraine, Chronic"
Xermelo(telotristat),"Ipsen Biopharmaceuticals Canada, Inc.",Negotiations were not pursued,Carcinoid Syndrome
Jublia(efinaconazole),"Bausch Health, Canada Inc.",Negotiations were not pursued,Onychomycosis
Pifeltro(doravirine),Merck Canada Inc.,Concluded with an LOI,HIV-1 Infection
Delstrigo(doravirine/lamuvidine/tenofovir disoproxil fumarate),Merck Canada Inc.,Concluded with an LOI,HIV-1 Infection
Cresemba(isavuconazole),AVIR Pharma Inc.,Concluded with an LOI,Invasive aspergillosis and mucormycosis
Unituxin(dinutuximab),United Therapeutics,Concluded with an LOI,Neuroblastoma
Xtandi(enzalutamide),Astellas Pharma Inc.,Concluded with an LOI,Non-metastatic Castration-resistant prostate cancer
Opdivo(nivolumab),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,Melanoma adjuvant therapy
Adcetris(brentuximab vedotin),Seattle Genetics Inc.,Negotiations were not pursued,Hodgkin's Lymphoma
Radicava(edaravone),"Mitsubishi Tanabe Pharma Canada, Inc.",Concluded with an LOI,Amyotrophic Lateral Sclerosis (ALS)
Eucrisa(crisaborole),Pfizer Canada ULC,Negotiations were not pursued,Atopic dermatitis
Brineura(cerliponase alfa),BioMarin Pharmaceutical Inc.,Concluded with an LOI,Neuronal Ceroid Lipofuscinosis Type 2
Kalydeco(ivacaftor),Vertex Pharmaceuticals (Canada) Incorporated,Concluded with an LOI,Cystic Fibrosis In Patients with CFTR Gating Mutations or the R117H Gating Mutation
Zirabev(bevacizumab),Pfizer Canada ULC,Concluded with an LOI,Metastatic Colorectal Cancer / Non-Small Cell Lung Cancer
Spinraza(nusinersen),Biogen Canada Inc.,Concluded with an LOI,Spinal Muscular Atrophy
Xeljanz(tofacitinib),Pfizer Canada ULC,Concluded with an LOI,Ulcerative Colitis
Cabometyx(cabozantinib),"Ipsen Biopharmaceuticals Canada, Inc.",Concluded with an LOI,Renal Cell Carcinoma
Mvasi(bevacizumab),Amgen Canada Inc.,Concluded with an LOI,Metastatic Colorectal Cancer / Non-Small Cell Lung Cancer
Ella(ulipristal acetate),Allergan Inc.,Concluded with an LOI,Prevention of Pregnancy
Segluromet(ertugliflozin/metformin hydrochloride),Merck Canada Inc.,Concluded without agreement,"Diabetes Mellitus, Type 2"
Steglatro(ertugliflozin),Merck Canada Inc.,Concluded without agreement,"Diabetes Mellitus, Type 2"
Fulphila(pegfilgrastim),BGP Pharma ULC,Concluded with an LOI,Febrile neutropenia in non-myeloid malignancies
Xeljanz XR(tofacitinib),Pfizer Canada ULC,Concluded with an LOI,Rheumatoid Arthritis
Humira (citrate-free)(adalimumab citrate-free),AbbVie Corporation,Concluded without agreement,Multiple Indications
Ozempic(semaglutide),Novo Nordisk Canada Inc.,Concluded with an LOI,"Diabetes Mellitus, Type 2"
Herceptin SC(trastuzumab),Hoffmann-La Roche Ltd.,Concluded without agreement,Breast Cancer
Tagrisso(osimertinib),AstraZeneca Canada Inc.,Concluded with an LOI,"Non-Small Cell Lung Cancer (First-line, locally advanced or metastatic)"
Lenvima(lenvatinib),Eisai Limited,Negotiations were not pursued,Advanced or Metastatic Clear-cell Renal Cell Carcinoma
Harvoni(ledipasvir/sofosbuvir),Gilead Sciences Canada Inc.,Concluded with an LOI,Chronic Hepatitis C
Velphoro(sucroferric oxyhydroxide),Vifor Fresenius Medical Care Renal Pharma,Concluded with an LOI,"Hyperphosphatemia, end-stage renal disease"
Soliqua(lixisenatide/insulin glargine),Sanofi-Aventis Canada Inc.,Concluded with an LOI,"Diabetes Mellitus, Type 2"
Perjeta/Herceptin(pertuzumab/trastuzumab),Hoffmann-La Roche Ltd.,Negotiations were not pursued,Early Breast Cancer
Opdivo(nivolumab),Bristol Myers Squibb Canada Inc.,Negotiations were not pursued,Hepatocellular Carcinoma (HCC) in adults after prior therapy
Daklinza(daclatasvir),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,Chronic Hepatitis C
Januvia(sitagliptin phosphate),Merck Canada Inc.,Concluded with an LOI,"Diabetes Mellitus, Type 2"
Opdivo-Yervoy(nivolumab-ipilimumab),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,Renal Cell Carcinoma
Gazyva(obinutuzumab),Hoffmann-La Roche Ltd.,Negotiations were not pursued,"Follicular lymphoma, Relapsed or refractory"
Erleada(apalutamide),Janssen Inc.,Concluded with an LOI,Non-metastatic Castration-resistant prostate cancer
Xarelto(rivaroxaban),Bayer Inc.,Concluded with an LOI,Prevention of stroke and cardiovascular events in coronary and peripheral artery disease.
Ozurdex(dexamethasone),Allergan Inc.,Negotiations were not pursued,Diabetic Macular Edema
Biktarvy(bictegravir/emtricitabine/tenofovir alafenamide),Gilead Sciences Canada Inc.,Concluded with an LOI,HIV-1 Infection
Fibristal(ulipristal acetate),Allergan Inc.,Concluded with an LOI,Uterine fibroids (signs and symptoms)
Alecensaro(alectinib),Hoffmann-La Roche Ltd.,Concluded with an LOI,Non-Small Cell Lung Cancer (First Line)
Praluent(alirocumab),Sanofi-Aventis Canada Inc.,Concluded without agreement,Atherosclerotic cardiovascular disease
Orkambi(lumacaftor/ivacaftor),Vertex Pharmaceuticals (Canada) Incorporated,Negotiations were not pursued,"Cystic Fibrosis, F508del CFTR mutation"
Arbesda RespiClick(fluticasone propionate/salmeterol xinafoate),Teva Canada Ltd.,Concluded without agreement,Asthma
Aermony Respiclick(fluticasone propionate),Teva Canada Ltd.,Concluded without agreement,Asthma
Viberzi(eluxadoline),Allergan Inc.,Negotiations were not pursued,Irritable Bowel Syndrome
Kanuma(sebelipase alfa),Alexion Pharma GmbH,Concluded with an LOI,Lysosomal acid lipase deficiency
Trelegy Ellipta(fluticasone furoate/umeclidinium/vilanterol),GlaxoSmithKline Inc.,Concluded with an LOI,Chronic Obstructive Pulmonary Disease (COPD)
Mavenclad(cladribine),"EMD Serono Canada, a division of EMD Inc.",Concluded with an LOI,"Multiple Sclerosis, Relapsing"
Nucynta(tapentadol hydrochloride),Paladin Labs Inc.,Negotiations were not pursued,"Pain, severe"
Fasenra(benralizumab),AstraZeneca Canada Inc.,Concluded with an LOI,Eosinophilic Asthma
Dysport Therapeutic(abobotulinumtoxina),"Ipsen Biopharmaceuticals Canada, Inc.",Concluded with an LOI,Lower Limb Spasticity
Nitisinone(nitisinone),Cycle Pharmaceuticals Ltd.,Concluded with an LOI,Hereditary Tyrosinemia Type 1
Taltz(ixekizumab),Eli Lilly Canada Inc.,Concluded with an LOI,Psoriatic Arthritis
Duodopa(levodopa/carbidopa),AbbVie Corporation,Concluded with an LOI,Parkinson's disease
Probuphine(buprenorphine),Knight Therapeutics Inc.,Concluded with an LOI,Opioid Use Disorder
Ozanex(ozenoxacin),Ferrer Internacional,Negotiations were not pursued,Impetigo
Symtuza(darunavir/cobicistat/emtricitabine/tenofovir alafenamide),Janssen Inc.,Concluded without agreement,HIV-1 Infection
Lonsurf(trifluridine/tipiracil),Taiho Pharma Canada Inc.,Concluded with an LOI,Metastatic Colorectal Cancer
Besponsa(inotuzumab ozogamicin),Pfizer Canada ULC,Concluded with an LOI,Acute Lymphoblastic Leukemia (ALL)
Tecentriq(atezolizumab),Hoffmann-La Roche Ltd.,Concluded with an LOI,Non-small Cell Lung Cancer
Dupixent(dupilumab),Sanofi Genzyme Canada,Concluded with an LOI,Atopic dermatitis
Lapelga(pegfilgrastim),"Apobiologix, a Division of Apotex Inc.",Concluded with an LOI,Febrile Neutropenia
Siliq(brodalumab),Valeant Canada,Concluded with an LOI,"Psoriasis, moderate to severe plaque"
Prevymis(letermovir),Merck Canada Inc.,Concluded with an LOI,Cytomegalovirus infection prophylaxis
Juluca(dolutegravir/rilpivirine),ViiV Healthcare,Concluded with an LOI,HIV-1 Infection
Akynzeo(netupitant/palonosetron),Purdue Pharma,Concluded with an LOI,Nausea and vomiting (chemotherapy induced) prevention
Toujeo(insulin glargine injection),Sanofi-Aventis Canada Inc.,Concluded with an LOI,"Diabetes Mellitus, Type 1 & 2"
Rituxan SC(rituximab),Hoffmann-La Roche Ltd.,Concluded with an LOI,Chronic lymphocytic leukemia
Kevzara(sarilumab),Sanofi-Aventis Canada Inc.,Concluded with an LOI,Rheumatoid Arthritis
Dysport Therapeutic(abobotulinumtoxina),"Ipsen Biopharmaceuticals Canada, Inc.",Concluded with an LOI,Upper Limb Spasticity
Dysport Therapeutic(abobotulinumtoxina),"Ipsen Biopharmaceuticals Canada, Inc.",Concluded with an LOI,Cervical dystonia
Enstilar(calcipotriol/betamethasone),LEO Pharma Inc.,Concluded with an LOI,"Psoriasis, moderate to severe plaque"
Opdivo(nivolumab),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,Classic Hodgkin's Lymphoma
Kisqali(ribociclib),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Advanced or Metastatic Breast Cancer
Lartruvo(olaratumab),Eli Lilly Canada Inc.,Concluded without agreement,Advanced Soft Tissue Sarcoma
Stivarga(regorafenib),Bayer Inc.,Concluded with an LOI,Unresectable Hepatocellular Carcinoma
Alecensaro(alectinib),Hoffmann-La Roche Ltd.,Concluded with an LOI,"Non-small cell lung cancer (NSCLC), locally advanced or metastatic"
Vectibix(panitumumab),Amgen Canada Inc.,Negotiations were not pursued,Left Sided Metastatic Colorectal Cancer
Bavencio(avelumab),"EMD Serono Canada, a division of EMD Inc.",Concluded with an LOI,Metastatic Merkel Cell Carcinoma
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,Metastatic Urothelial Carcinoma
Venclexta(venetoclax),AbbVie Corporation,Concluded with an LOI,As monotherapy for the treatment of patients with chronic lymphocytic leukemia (CLL) who have received at least one prior therapy and who have failed a B-Cell Receptor Inhibitor (BCRi)
Adcetris(brentuximab vedotin),Seattle Genetics Inc.,Concluded with an LOI,Hodgkin's Lymphoma
Ocrevus(ocrelizumab),Hoffmann-La Roche Ltd.,Concluded with an LOI,Primary Progressive Multiple Sclerosis
MDK-Nitisinone(nitisinone),MendeliKABS Inc,Concluded with an LOI,Hereditary Tyrosinemia Type 1
Monoprost(latanoprost),Laboratoires Thea,Concluded without agreement,Glaucoma and Ocular Hypertension
Actemra(tocilizumab),Hoffmann-La Roche Ltd.,Concluded with an LOI,Giant Cell Arteritis
Vemlidy(tenofovir alafenamide),Gilead Sciences Canada Inc.,Concluded without agreement,Hepatitis B
Ilaris(canakinumab),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Systemic juvenile idiopathic arthritis
Renflexis(infliximab),Merck Canada Inc.,Concluded with an LOI,Rheumatic Conditions
Izba(travoprost),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Open-angle Glaucoma
Rexulti(brexpiprazole),Otsuka Canada Pharmaceutical Inc.,Concluded with an LOI,Schizophrenia
Galafold(migalastat),Amicus Therapeutics,Concluded with an LOI,Fabry Disease
Fiasp(insulin aspart),Novo Nordisk Canada Inc.,Concluded without agreement,"Diabetes Mellitus, Type 1 & 2"
Pomalyst(pomalidomide),Celgene Inc.,Concluded with an LOI,Multiple Myeloma
Mictoryl Pediatric(propiverine hydrochloride),Duchesnay Inc.,Concluded with an LOI,Overactive Bladder
Jevtana(cabazitaxel),Sanofi-Aventis Canada Inc.,Concluded with an LOI,Metastatic Castration-Resistant Prostate Cancer
Rosiver(ivermectin),Galderma Canada Inc.,Concluded without agreement,Rosacea
Rydapt(midostaurin),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Acute Myeloid Leukemia (AML)
Lynparza(olaparib),AstraZeneca Canada Inc.,Concluded with an LOI,"Ovarian Cancer, monotherapy for the maintenance treatment of female adult patients with recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who are in a complete or partial response to platinum-based chemotherapy"
Tagrisso(osimertinib),AstraZeneca Canada Inc.,Concluded with an LOI,Non-Squamous Non-Small Cell Lung Cancer
Gazyva(obinutuzumab),Hoffmann-La Roche Ltd.,Concluded with an LOI,Follicular Lymphoma
Orfadin(nitisinone),Sobi Canada Inc.,Concluded with an LOI,Hereditary Tyrosinemia Type 1
Tremfya(guselkumab),Janssen Inc.,Concluded without agreement,"Psoriasis, moderate to severe plaque"
Procysbi(cysteamine bitartrate),Horizon Therapeutics Ireland DAC,Concluded with an LOI,Nephropathic cystinosis
Maviret(glecaprevir/pibrentasvir),AbbVie Corporation,Concluded with an LOI,Chronic Hepatitis C
Movapo(apomorphine hydrochloride),Paladin Labs Inc.,Concluded with an LOI,Parkinson's disease
Vosevi(sofosbuvir/velpatasvir/voxilaprevir),Gilead Sciences Canada Inc.,Concluded with an LOI,Chronic Hepatitis C
Spinraza(nusinersen),Biogen Canada Inc.,Concluded with an LOI,Spinal Muscular Atrophy
Zykadia(ceritinib),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Non-Squamous Non-Small Cell Lung Cancer
Viacoram(perindopril arginine/amlodipine),Servier Canada Inc.,Concluded without agreement,Hypertension
Adlyxine(lixisenatide),Sanofi-Aventis Canada Inc.,Concluded with an LOI,"Diabetes Mellitus, Type 2"
Repatha(evolocumab),Amgen Canada Inc.,Concluded without agreement,Primary hyperlipidemia and mixed dyslipidemia
Ocrevus(ocrelizumab),Hoffmann-La Roche Ltd.,Concluded with an LOI,"Multiple Sclerosis, Relapsing"
Tresiba(insulin degludec),Novo Nordisk Canada Inc.,Concluded with an LOI,"Diabetes Mellitus, Type 1 & 2"
Stivarga(regorafenib),Bayer Inc.,Negotiations were not pursued,Metastatic Colorectal Cancer
VPRIV(velaglucerase),Shire Pharma Canada ULC,Concluded with an LOI,Gaucher disease
Elelyso(taliglucerase alfa),Pfizer Canada ULC,Concluded with an LOI,Gaucher disease
Cerezyme(imiglucerase),Sanofi Genzyme Canada,Concluded without agreement,Gaucher disease
Kyleena(levonorgestrel),Bayer Inc.,Concluded with an LOI,Conception Control
Invega Trinza(paliperidone palmitate),Janssen Inc.,Concluded with an LOI,Schizophrenia
Strensiq(asfotase alfa),Alexion Pharma GmbH,Concluded with an LOI,Pediatric-onset hypophosphatasia
Narcan(naloxone hydrochloride),Adapt Pharma Operations Limited,Concluded with an LOI,Opioid Overdose
Methadose(methadone hydrochloride),Mallinckrodt Canada ULC,Concluded without agreement,Opioid Dependence
Metoject(methotrexate),"Medexus Pharmaceuticals, Inc.",Concluded with an LOI,Rheumatic Conditions
Copaxone(glatiramer acetate),Teva Canada Ltd.,Concluded without agreement,Clinically Isolated Syndrome
Botox(onabotulinumtoxin a),Allergan Inc.,Concluded with an LOI,Multiple Indications
Faslodex(fulvestrant),AstraZeneca Canada Inc.,Concluded without agreement,"Breast Cancer, Locally Advanced or Metastatic"
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,Classic Hodgkin's Lymphoma
Onivyde(irinotecan liposome),Servier Canada Inc.,Concluded without agreement,Metastatic Pancreatic Cancer
Opdivo-Yervoy(nivolumab-ipilimumab),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,Metastatic Melanoma
Glatect(glatiramer acetate),"Pendopharm, a division of Pharmascience Inc.",Concluded with an LOI,"Multiple Sclerosis, Relapsing-Remitting"
Cerdelga(eliglustat),Sanofi Genzyme Canada,Concluded without agreement,Gaucher disease
Ocaliva(obeticholic acid),Intercept Pharma Canada,Concluded with an LOI,Primary biliary cholangitis
Caprelsa(vandetanib),Sanofi Genzyme Canada,Concluded with an LOI,Medullary Thyroid Cancer
Erelzi(etanercept),Sandoz Canada Inc.,Concluded with an LOI,"Ankylosing spondylitis, polyarticular juvenile idiopathic arthritis, rheumatoid arthritis"
Zinbryta(daclizumab beta),Biogen Canada Inc.,Negotiations were not pursued,"Multiple Sclerosis, Relapsing"
Darzalex(daratumumab),Janssen Inc.,Concluded with an LOI,Multiple Myeloma
Lixiana(edoxaban),Servier Canada Inc.,Concluded with an LOI,"Venous thromboembolism, treatment and recurrence prevention"
Odefsey(emtricitabine/rilpivirine/tenofovir alafenamide),Gilead Sciences Canada Inc.,Concluded with an LOI,HIV-1 Infection
Lancora(ivabradine),Servier Canada Inc.,Concluded with an LOI,"Heart failure, NYHA class II or III"
Fibristal(ulipristal acetate),Allergan Inc.,Concluded without agreement,Uterine fibroids (signs and symptoms) - 2nd cycle pre-surgery
Mictoryl(propiverine hydrochloride),Duchesnay Inc.,Concluded without agreement,Overactive Bladder
Kevzara(sarilumab),Sanofi-Aventis Canada Inc.,Concluded without agreement,Rheumatoid Arthritis
Blincyto(blinatumomab),Amgen Canada Inc.,Concluded with an LOI,Acute Lymphoblastic Leukemia (ALL)
Actikerall(fluorouracil/salicylic acid),Cipher,Concluded with an LOI,Hyperkeratotic actinic keratosis
Stelara(ustekinumab),Janssen Inc.,Concluded without agreement,Crohn's disease
Lixiana(edoxaban),Servier Canada Inc.,Concluded with an LOI,"Non-valvular atrial fibrillation, prevention of stroke and systemic embolism"
Blincyto(blinatumomab),Amgen Canada Inc.,Concluded with an LOI,"Acute Lymphoblastic Leukemia (ALL), Pediatric"
Ravicti(glycerol phenylbutyrate),Horizon Therapeutics Ireland DAC,Concluded with an LOI,Urea cycle disorders
Hemangiol(propranolol oral solution),Pierre Fabre,Concluded with an LOI,Infantile hemangioma
Brivlera(brivaracetam),UCB Canada Inc.,Concluded with an LOI,"Epilepsy, partial-onset seizures"
Ibrance(palbociclib),Pfizer Canada ULC,Concluded with an LOI,Advanced Breast Cancer
Quinsair(levofloxacin),Raptor Pharmaceuticals Inc.,Concluded with an LOI,Cystic fibrosis with chronic pulmonary Pseudomonas aeruginosa infections
Rituxan(rituximab),Hoffmann-La Roche Ltd.,Negotiations were not pursued,Acute Lymphoblastic Leukemia (ALL)
Kyprolis(carfilzomib),Amgen Canada Inc.,Concluded with an LOI,Multiple Myeloma
Uptravi(selexipag),Actelion Pharmaceuticals Ltd.,Concluded with an LOI,Pulmonary Arterial Hypertension
Synjardy(empagliflozin/metformin),Boehringer Ingelheim (Canada) Ltd.,Concluded with an LOI,"Diabetes Mellitus, Type 2"
Taltz(ixekizumab),Eli Lilly Canada Inc.,Concluded with an LOI,"Psoriasis, moderate to severe plaque"
Kuvan(sapropterin dihydrochloride),BioMarin Pharmaceutical Inc.,Concluded with an LOI,Phenylketonuria
Jardiance(empagliflozin),Boehringer Ingelheim (Canada) Ltd.,Concluded with an LOI,"Diabetes Mellitus, Type 2 with high cardiovascular risk"
Invokamet(canagliflozin/metformin hydrochloride),Janssen Inc.,Concluded without agreement,"Diabetes Mellitus, Type 2"
Brilinta(ticagrelor),AstraZeneca Canada Inc.,Concluded without agreement,Prevention of atherothrombotic events with history of myocardial infarction
Descovy(emtricitabine/tenofovir alafenamide),Gilead Sciences Canada Inc.,Concluded without agreement,HIV-1 Infection
Cosentyx(secukinumab),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Ankylosing spondylitis
Cosentyx(secukinumab),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Psoriatic Arthritis
Revestive(teduglutide),Shire Pharma Canada ULC,Concluded with an LOI,Short Bowel Syndrome (SBS)
Praluent(alirocumab),Sanofi-Aventis Canada Inc.,Concluded with an LOI,Primary hypercholesterolemia (non-familial and heterozygous familial)
Kyprolis(carfilzomib),Amgen Canada Inc.,Concluded with an LOI,Multiple Myeloma
Trulicity(dulaglutide),Eli Lilly Canada Inc.,Concluded without agreement,"Diabetes Mellitus, Type 2"
Nucala(mepolizumab),GlaxoSmithKline Inc.,Concluded with an LOI,Severe Eosinophilic Asthma
Vimizim(elosulfase alfa),BioMarin Pharmaceutical Inc.,Concluded with an LOI,Mucopolysaccharidosis IVA (Morquio A syndrome)
Xolair(omalizumab),Novartis Pharmaceuticals Canada Inc.,Concluded without agreement,Severe Persistent Asthma
Fycompa(perampanel),Eisai Limited,Concluded with an LOI,"Epilepsy, primary generalized tonic-clonic seizures"
Pheburane(sodium phenylbutyrate),Médunik Canada Inc.,Concluded with an LOI,Urea cycle disorders
Naglazyme(galsulfase),BioMarin Pharmaceutical Inc.,Negotiations were not pursued,Mucopolysaccharidosis VI
Repatha(evolocumab),Amgen Canada Inc.,Concluded with an LOI,Primary hyperlipidemia and mixed dyslipidemia
Prolia(denosumab),Amgen Canada Inc.,Concluded with an LOI,Osteoporosis in Men
Kalydeco(ivacaftor),Vertex Pharmaceuticals (Canada) Incorporated,Concluded without agreement,Cystic Fibrosis (CFTR gating mutations)
Truvada(emtricitabine/tenofovir disoproxil fumarate),Gilead Sciences Canada Inc.,Negotiations were not pursued,"HIV-1 infection, pre-exposure prophylaxis"
Strensiq(asfotase alfa),Alexion Pharma GmbH,Concluded without agreement,Pediatric-onset hypophosphatasia
Tafinlar/Mekinist(dabrafenib/trametinib),Novartis Pharmaceuticals Canada Inc.,Negotiations were not pursued,Non-Small Cell Lung Cancer (with CNS metastases)
Giotrif(afatinib),Boehringer Ingelheim (Canada) Ltd.,Concluded with an LOI,Advanced Non-Small Cell Lung Cancer
Opdivo(nivolumab),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,Head and Neck Squamous Cell Carcinoma (HNSCC)
Simponi IV(golimumab),Janssen Inc.,Concluded without agreement,Rheumatoid Arthritis
Stivarga(regorafenib),Bayer Inc.,Concluded with an LOI,Gastrointestinal Stromal Tumours
Basaglar(insulin glargine),Eli Lilly Canada Inc.,Concluded with an LOI,"Diabetes Mellitus, Type 1 & 2"
Mifegymiso(mifepristone and misoprostol),Celopharma,Concluded with an LOI,Medical termination of pregnancy
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,Non-small Cell Lung Cancer
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,Non-small Cell Lung Cancer
Neupro(rotigotine),UCB Canada Inc.,Concluded with an LOI,Parkinson's disease
Brenzys(etanercept),Merck Canada Inc.,Concluded with an LOI,Rheumatoid Arthritis and Ankylosing Spondylitis
Afinitor(everolimus),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Neuroendocrine tumours of Gastrointestinal or Lung origin
XigDuo(dapagliflozin/metformin hydrochloride),AstraZeneca Canada Inc.,Concluded with an LOI,"Diabetes Mellitus, Type 2"
Humira(adalimumab),AbbVie Corporation,Concluded with an LOI,Ulcerative Colitis
Avastin(bevacizumab),Hoffmann-La Roche Ltd.,Concluded with an LOI,Platinum-Resistant Ovarian Cancer
Avastin(bevacizumab),Hoffmann-La Roche Ltd.,Concluded with an LOI,Metastatic Colorectal Cancer
Sublinox(zolpidem tartrate),Valeant Canada,Negotiations were not pursued,"Insomnia, short-term treatment"
Ninlaro(ixazomib),Takeda Canada Inc.,Negotiations were not pursued,Multiple Myeloma
Eylea(aflibercept),Bayer Inc.,Concluded with an LOI,Macular edema secondary to branch retinal vein occlusion
Genvoya(elvitegravir/cobicistat/emtricitabine/tenofovir alafenamide),Gilead Sciences Canada Inc.,Concluded with an LOI,HIV-1 Infection
Entresto(sacubitril/valsartan),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,"Heart failure, NYHA class II or III"
Entyvio(vedolizumab),Takeda Canada Inc.,Concluded with an LOI,Crohn's disease
Entyvio(vedolizumab),Takeda Canada Inc.,Concluded with an LOI,Ulcerative Colitis
Epclusa(sofosbuvir/velpatasvir),Gilead Sciences Canada Inc.,Concluded with an LOI,Chronic Hepatitis C
Sunvepra(asunaprevir),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,Chronic Hepatitis C
Zepatier(elbasvir/grazoprevir),Merck Canada Inc.,Concluded with an LOI,Chronic Hepatitis C
Otezla(apremilast),Celgene Inc.,Concluded without agreement,Psoriatic Arthritis
Plegridy(peginterferon beta-1a),Biogen Canada Inc.,Concluded with an LOI,"Multiple Sclerosis, Relapsing"
