"Drug/device name","Medicinal ingredient","Manufacturer","Outcome","Decision date","Control number / Application number","Type of submission / Type of application"
"PRETTAU, ICE AND Z-WHITE ZIRCONIA BLANKS","N/A","ZIRKONZAHN SRL","Approved","2019-07-15","296509","New device licence application"
"TOMOTHERAPY TREATMENT DELIVERY SYSTEM WITH IDMS","N/A","ACCURAY, INC.","Approved","2019-07-15","298539","New device licence application"
"MONSTER SCREW SYSTEM","N/A","PARAGON 28, INC.","Approved","2019-07-12","290206","New device licence application"
"RAD-67 PULSE CO-OXIMETER","N/A","MASIMO CORPORATION","Approved","2019-07-12","296082","New device licence application"
"DR 800","N/A","AGFA N.V.","Approved","2019-07-12","298220","New device licence application"
"APTIVUE SOFTWARE UPGRADE KIT E.5.1","N/A","ABBOTT MEDICAL","Approved","2019-07-12","298285","New device licence application"
"PDP-LEVETIRACETAM","levetiracetam","Pendopharm Division Of Pharmascience Inc","Approved","2019-07-11","213656","New Drug Submission"
"DACOGEN","decitabine","Otsuka Pharmaceutical Co Ltd","Approved","2019-07-11","217663","New Drug Submission (New Active Substance)"
"VITRAKVI","larotrectinib","Bayer Inc","Approved","2019-07-10","219998","New Drug Submission"
"HEALON GV PRO","N/A","JOHNSON & JOHNSON SURGICAL VISION, INC.","Approved","2019-07-10","295120","New device licence application"
"WAYPOINT STEREOTACTIC SYSTEM","N/A","FHC, INC.","Approved","2019-07-10","296249","New device licence application"
"EMBODY SYSTEM","N/A","INMODE LTD.","Approved","2019-07-09","298072","New device licence application"
"LUXACROWN","N/A","DMG CHEMISCH-PHARMAZEUTISCHE FABRIK GMBH","Approved","2019-07-05","295098","New device licence application"
"DENTIUM PROSTHETICS-CAD/CAM ABUTMENTS","N/A","DENTIUM CO., LTD.","Approved","2019-07-05","297623","New device licence application"
"INTELLIVENT-ASV SOFTWARE","N/A","HAMILTON MEDICAL AG","Approved","2019-07-05","298746","New device licence application"
"KEYTRUDA","pembrolizumab","Merck Canada Inc","Approved","2019-07-04","219700","Supplemental New Drug Submission (SNDS)"
"ESPEROCT","Antihemophilic Factor VIII (Recombinant, B-Domain Truncated), PEGylated","Novo Nordisk Canada Inc.","Approved","2019-07-04","218531","New Drug Submission"
"VENTANA ANTI-ALK (D5F3) RABBIT MONOCLONAL PRIMARY ANTIBODY","N/A","ROCHE DIAGNOSTICS GMBH","Approved","2019-07-04","287258","New device licence application"
"ELECSYS ZIKA IGG","N/A","ROCHE DIAGNOSTICS GMBH","Approved","2019-07-04","292559","New device licence application"
"WAVESENSE JAZZ WIRELESS BLOOD GLUCOSE MONITORING SYSTEM","N/A","AGAMATRIX, INC","Approved","2019-07-04","293126","New device licence application"
"NETSPOT","Kit for the preparation of gallium (68Ga) dotatate for injection","Advanced Accelerator Applications USA, Inc.","Approved","2019-07-03","218346","New Drug Submission"
"TRIDENT II ACETABULAR SYSTEM","N/A","HOWMEDICA OSTEONICS CORPORATION","Approved","2019-07-03","284931","New device licence application"
"CAPSULE G-TUBE/CAPSULE GASTROSTOMY TUBE","N/A","APPLIED MEDICAL TECHNOLOGY, INC.","Approved","2019-07-03","287984","New device licence application"
"AMT BALLOON G-TUBE","N/A","APPLIED MEDICAL TECHNOLOGY, INC.","Approved","2019-07-03","287986","New device licence application"
"IBS IMPLANT SYSTEM","N/A","INNOBIOSURG. CO., LTD","Approved","2019-07-02","288172","New device licence application"
"FIRAZYR","icatibant acetate","Shire Orphan Therapies LLC","Approved","2019-06-28","217805","Supplement to a New Drug Submission"
"ZEJULA","niraparib","Glaxosmithkline Inc","Approved","2019-06-27","216792","New Drug Submission (New Active Substance)"
"MAVIRET","glecaprevir, pibrentasvir","Abbvie Corporation","Approved","2019-06-25","222816","Priority Supplement to a New Drug Submission"
"MAXAN ANTERIOR CERVICAL PLATE SYSTEM","N/A","ZIMMER BIOMET SPINE, INC.","Approved","2019-06-25","278576","New device licence application"
"TRINIAS DIGITAL X-RAY ANGIOGRAPHY SYSTEM","N/A","SHIMADZU CORPORATION","Approved","2019-06-25","284063","New device licence application"
"VISUAL-ICE MRI CRYOABLATION SYSTEM","N/A","GALIL MEDICAL INC.","Approved","2019-06-25","284335","New device licence application"
"HEX DOME HOLE PLUG","N/A","HOWMEDICA OSTEONICS CORPORATION","Approved","2019-06-25","286752","New device licence application"
"T2 ALPHA FEMUR ANTEGRADE GT/PF NAILING SYSTEM","N/A","STRYKER TRAUMA GMBH","Approved","2019-06-25","295127","New device licence application"
"ELEVIEW","N/A","COSMO TECHNOLOGIES LTD.","Approved","2019-06-25","295480","New device licence application"
"MATRIXNEURO CRANIAL PLATING SYSTEM","N/A","SYNTHES USA LLC","Approved","2019-06-25","296582","New device licence application"
"LOW PROFILE HEX SCREWS","N/A","HOWMEDICA OSTEONICS CORPORATION","Approved","2019-06-24","284927","New device licence application"
"SOMATOM GO.ALL","N/A","SIEMENS HEALTHCARE GMBH","Approved","2019-06-24","295404","New device licence application"
"COCHLEAR NUCLEUS CI600","N/A","COCHLEAR LIMITED","Approved","2019-06-24","295481","New device licence application"
"COGENT HEMODYNAMIC MONITORING SYSTEM","N/A","ICU MEDICAL INC.","Approved","2019-06-24","295615","New device licence application"
"SONICFILL 3","N/A","KERR CORPORATION","Approved","2019-06-24","296247","New device licence application"
"MAGSTIM HORIZON TMS THERAPY SYSTEM","N/A","THE MAGSTIM COMPANY LIMITED","Approved","2019-06-20","285227","New device licence application"
"PROCLEIX ZIKA VIRUS ASSAY (DONOR SCREENING/CADAVERIC TESTING)","N/A","GRIFOLS DIAGNOSTIC SOLUTIONS INC.","Approved","2019-06-20","291999","New device licence application"
"SOMATOM GO.TOP","N/A","SIEMENS HEALTHCARE GMBH","Approved","2019-06-20","295409","New device licence application"
"FLUZONE HIGH-DOSE","A/Michigan/45/2015 X-275 (H1N1)pdm09-like strain, A/Singapore/INFIMH-16-0019/2016 IVR-186 (H3N2)-like strain and B/Colorado/6/2017-like strain (B/Maryland/15/2016 BX-69A).","Sanofi Pasteur Limited","Cancelled","2019-06-19","218188","Supplement to a New Drug Submission"
"XEOMIN COSMETIC","incobotulinumtoxinA","Merz Pharmaceuticals GmbH","Approved","2019-06-18","208713","Supplemental New Drug Submission (SNDS)"
"FEIBA NF","Anti-Inhibitor Coagulant Complex","Shire Pharma Canada ULC","Approved","2019-06-18","221629","Supplement to a New Drug Submission"
"LIBERTE UT 380 SILVER COPPER","N/A","LABORATOIRE 7 MED","Approved","2019-06-18","287889","New device licence application"
"NATRELLE 133S TISSUE EXPANDER","N/A","ALLERGAN, INC.","Approved","2019-06-18","290064","New device licence application"
"EVENITY","Romosozumab","Amgen Canada Inc","Approved","2019-06-17","197713","New Drug Submission"
"OBRARO","naloxone hydrochloride dihydrate","Purdue Pharma","Cancelled","2019-06-17","211970","New Drug Submission"
"ZIRABEV","Bevacizumab","Pfizer Canada ULC","Approved","2019-06-14","218183","New Drug Submission"
"HEMLIBRA","Emicizumab","Hoffmann-La Roche Limited","Approved","2019-06-14","222209","Supplemental New Drug Submission"
"ARIDOL","mannitol","Pharmaxis Ltd","Approved","2019-06-13","217446","New Drug Submission"
"PRISMATS / PRISMATSLAB","N/A","LOWENSTEIN MEDICAL TECHNOLOGY GMBH + CO. KG","Approved","2019-06-11","287442","New device licence application"
"LOOK PTFE SUTURES","N/A","SURGICAL SPECIALTIES MEXICO, S. DE R.L. DE C.V.","Approved","2019-06-11","292353","New device licence application"
"ELYSION","N/A","HIGH TECHNOLOGY PRODUCTS, S.L.U. (COCOON MEDICAL)","Approved","2019-06-11","298261","New device licence application"
"ONPATTRO","patisiran","Alnylam Netherlands B.v.","Approved","2019-06-07","221896","Priority New Drug Submission (New Active Substance)"
"ALOFISEL","expanded Adipose Stem Cells (eASC) (darvadstrocel)","Takeda Canada Inc.","Cancelled","2019-06-05","217347","New Drug Submission (NDS)"
"MVASI","bevacizumab","Amgen Canada Inc.","Approved","2019-06-05","218844","Supplement to a New Drug Submission"
"ELECTROSURGICAL GENERATOR (ESG-300)","N/A","OLYMPUS WINTER & IBE GMBH","Approved","2019-06-04","292631","New device licence application"
"GLUCOX BLOOD GLUCOSE MONITORING SYSTEM","N/A","TAIDOC TECHNOLOGY CORPORATION","Approved","2019-06-04","288034","New device licence application"
"RITTER IMPLANTS","N/A","RITTER IMPLANTS GMBH & CO. KG","Approved","2019-05-29","291218","New device licence application"
"HV SCREW","N/A","WRIGHT MEDICAL TECHNOLOGY INC.","Approved","2019-05-29","296602","New device licence application"
"DENTAL ADHESIVES","N/A","SILMET LTD","Approved","2019-05-27","277486","New device licence application"
"BABY GORILLA / GORILLA PLATING SYSTEM","N/A","PARAGON 28, INC.","Approved","2019-05-27","289030","New device licence application"
"VISCALOR BULK","N/A","VOCO GMBH","Approved","2019-05-27","298254","New device licence application"
"TECENTRIQ","atezolizumab","Hoffman-La Roche Limited","Approved","2019-05-24","217324","Supplement to a New Drug Submission"
"XCAT CONE BEAM CT DIAGNOSTIC IMAGING SYSTEMS","N/A","XORAN EUROPE D.O.O.","Approved","2019-05-23","279825","New device licence application"
"ARCO FP","N/A","A.T.S. APPLICAZIONE TECNOLOGIE SPECIALI S.R.L.","Approved","2019-05-23","286555","New device licence application"
"IMN SCREWS SYSTEM","N/A","STRYKER TRAUMA GMBH","Approved","2019-05-23","292720","New device licence application"
"OPTIBOND EXTRA UNIVERSAL","N/A","KERR CORPORATION, ALSO TRADING AS PENTRON CLINICAL","Approved","2019-05-23","293859","New device licence application"
"NEUROLOGY PACK","N/A","CARDINAL HEALTH","Approved","2019-05-23","296407","New device licence application"
"PROLASTIN-C LIQUID / PROLASTIN-C","Alpha-1 Proteinase Inhibitor (Human)","Grifols Therapeutics LLC","Approved","2019-05-21","220790","Supplement to a New Drug Submission"
"VITROS IMMUNODIAGNOSTIC PRODUCTS HS TROPONIN I ASSAY","N/A","ORTHO-CLINICAL DIAGNOSTICS","Approved","2019-05-21","297554","New device licence application"
"DENTRI-C ALPHA","N/A","HDX WILL CORP.","Approved","2019-05-17","284971","New device licence application"
"E-CUBE 12","N/A","ALPINION MEDICAL SYSTEMS CO., LTD.","Approved","2019-05-17","284972","New device licence application"
"YPSOPUMP","N/A","YPSOMED AG","Approved","2019-05-17","286505","New device licence application"
"VALIANT NAVION THORACIC STENT GRAFT SYSTEM","N/A","MEDTRONIC INC.","Approved","2019-05-17","288786","New device licence application"
"NEXTSEQ 550DX","N/A","ILLUMINA, INC.","Approved","2019-05-17","288798","New device licence application"
"ECOSITE BULK FILL","N/A","DMG CHEMISCH-PHARMAZEUTISCHE FABRIK GMBH","Approved","2019-05-17","293861","New device licence application"
"MASSCHROM AMINO ACIDS AND ACYLCARNITINES FROM DRIED BLOOD (NON DERIVATISED)","N/A","CHROMSYSTEMS INSTRUMENTS & CHEMICALS GMBH","Approved","2019-05-17","295355","New device licence application"
"MERON PLUS QM","N/A","VOCO GMBH","Approved","2019-05-17","296383","New device licence application"
"REVOLADE","eltrombopag olamine","Novartis Pharmaceuticals Canada Inc","Approved","2019-05-15","217802","Supplement to a New Drug Submission"
"DENTRI-S ALPHA","N/A","HDX WILL CORP.","Approved","2019-05-14","284948","New device licence application"
"DENTRI ALPHA","N/A","HDX WILL CORP.","Approved","2019-05-14","284968","New device licence application"
"CODMAN CERELINK ICP MONITORING SYSTEM","N/A","CODMAN & SHURTLEFF INC.","Approved","2019-05-13","296639","New device licence application"
"TIBELLA","tibolone","Biosyent Pharma Inc","Approved","2019-05-10","206099","New Drug Submission (New Active Substance)"
"OGIVRI","trastuzumab","BGP Pharma ULC","Approved","2019-05-03","204579","New Drug Submission"
"G-AENIAL INJECTABLE","N/A","GC AMERICA INC.","Approved","2019-05-03","289262","New device licence application"
"DSM BIOMEDICAL CALCIUM PHOSPHATE CEMENT WITH MICROSPHERES","N/A","DSM BIOMEDICAL, INC. D.B.A. DSM BIOMEDICAL","Approved","2019-05-03","291058","New device licence application"
"QUATTRO BOLT TENODESIS SCREW","N/A","CAYENNE MEDICAL INC.","Approved","2019-05-03","293335","New device licence application"
"HERA W10 DIAGNOSTIC ULTRASOUND SYSTEM","N/A","SAMSUNG MEDISON CO., LTD.","Approved","2019-05-03","296516","New device licence application"
"ADCETRIS","Brentuximab vedotin","Seattle Genetics Inc.","Approved","2019-05-02","216513","Supplement to a New Drug Submission"
"HYDROMORPHONE HP 10, HYDROMORPHONE HP 20, HYDROMORPHONE HP 50, HYDROMORPHONE HP FORTE","hydromorphone HCL","Sandoz Canada Incorporated","Approved","2019-05-01","223245","Priority Supplement to a New Drug Submission"
"IVOZFO","fosfomycin sodium","Verity Pharmaceuticals Inc","Approved","2019-05-01","219662","New Drug Submission"
"MODIFICATION OF MSM BLOOD DONOR DEFERRAL","N/A","N/A","Approved","2019-04-30","223202, 223227","Application for an Authorization Amendment"
"INTRACEL FRACTIONAL RF MICRONEEDLE ELECTRO SURGICAL UNIT","N/A","JEISYS MEDICAL INC.","Approved","2019-04-30","279751","New device licence application"
"TRI-BEAM ND: YAG LASER SURGICAL UNIT","N/A","JEISYS MEDICAL INC.","Approved","2019-04-30","279756","New device licence application"
"PHT-65LHS COMPUTED TOMOGRAPHY X-RAY SYSTEM","N/A","VATECH CO., LTD.","Approved","2019-04-30","286508","New device licence application"
"T2 ALPHA TIBIA NAILING SYSTEM","N/A","STRYKER TRAUMA GMBH","Approved","2019-04-30","292569","New device licence application"
"CDI BLOOD PARAMETER MONITORING SYSTEM 550","N/A","TERUMO CARDIOVASCULAR SYSTEMS CORP.","Approved","2019-04-30","293547","New device licence application"
"BONE PLATES","N/A","STRYKER LEIBINGER GMBH & CO. KG","Approved","2019-04-30","298576","New device licence application"
"SUTENT","sunitinib malate","Pfizer Canada Inc.","Rejected","2019-04-23","208710","Supplement to a New Drug Submission"
"DSM BIOMEDICAL CALCIUM PHOSPHATE CEMENT","N/A","DSM BIOMEDICAL, INC. D.B.A. DSM BIOMEDICAL","Approved","2019-04-23","288968","New device licence application"
"KEYTRUDA","Pembrolizumab","Merck Canada Inc.","Approved","2019-04-18","218779","Supplement to a New Drug Submission"
"JARDIANCE","empagliflozin","Boehringer Ingelheim (Canada) Ltd Ltee","Approved","2019-04-18","221628","Supplement to a New Drug Submission"
"SKYRIZI","Risankizumab","Abbvie Corporation","Approved","2019-04-17","215753","New Drug Submission"
"PREVNAR 13","Pneumococcal 13-valent conjugate vaccine (13vPnC)","Pfizer Canada ULC","Approved","2019-04-15","216208","Supplement to a New Drug Submission"
"OPDIVO","Nivolumab","Bristol-Myers Squibb Canada Co.","Cancelled","2019-04-15","204349","Supplement to a New Drug Submission - Confirmatory"
"AIMOVIG","erenumab injection","Novartis Pharmaceuticals Canada Inc.","Approved","2019-04-11","219765","Supplement to a New Drug Submission"
"KEYTRUDA","Pembrolizumab","Merck Canada Inc","Approved","2019-04-11","209011","Supplement to a New Drug Submission"
"EUROLABWORKSTATION ELISA","N/A","EUROIMMUN MEDIZINISCHE LABORDIAGNOSTIKA AG","Approved","2019-04-11","289269","New device licence application"
"LIAC HWL 12 MEV","N/A","S.I.T.- SORDINA IORT TECHNOLOGIES S.P.A.","Approved","2019-04-11","291666","New device licence application"
"CARESCAPE ONE","N/A","GE MEDICAL SYSTEMS INFORMATION TECHNOLOGIES, INC.","Approved","2019-04-11","291949","New device licence application"
"LIBTAYO","cemiplimab","Sanofi-Aventis Canada Inc.","Approved","2019-04-10","218718","New Drug Submission"
"ALOXI","palonosetron hydrochloride","Purdue Pharma","Approved","2019-04-08","215829","Supplement to a New Drug Submission"
"VERZENIO","abemaciclib","Eli Lilly Canada Inc","Approved","2019-04-08","215268","New Drug Submission (New Active Substance)"
"TRUXIMA","Rituximab","Celltrion Healthcare Co. Ltd.","Approved","2019-04-04","208204","New Drug Submission"
"KEYTRUDA","Pembrolizumab","Merck Canada Inc.","Approved","2019-04-02","216451","Supplement to a New Drug Submission"
"RUXIENCE","rituximab","Pfizer Canada ULC","Cancelled","2019-04-02","224672","New Drug Submission"
"HIRES ULTRA 3D COCHLEAR IMPLANT","N/A","ADVANCED BIONICS AG","Approved","2019-04-02","282534","New device licence application"
"VALLEYLAB FX8 FX SERIES ENERGY PLATFORM","N/A","COVIDIEN LLC","Approved","2019-04-02","287716","New device licence application"
"ALERE NT-PROBNP FOR ARCHITECT","N/A","AXIS-SHIELD DIAGNOSTICS LIMITED","Approved","2019-04-02","289294","New device licence application"
"TS PORT ANGLED ABUTMENT","N/A","OSSTEM IMPLANT CO., LTD","Approved","2019-04-02","293116","New device licence application"
"JUVEDERM VOLUX","N/A","ALLERGAN","Approved","2019-04-01","290070","New device licence application"
"FIGULLA FLEX II PFO","N/A","OCCLUTECH GMBH","Approved","2019-03-29","286930","New device licence application"
"SECRET RF MICRO-NEEDLE FRACTIONAL RF SYSTEM","N/A","ILOODA CO., LTD","Approved","2019-03-28","274490","New device licence application"
"DIA-PROSEAL","N/A","DIADENT GROUP INTERNATIONAL","Approved","2019-03-28","288944","New device licence application"
"ACERO CROWNS","N/A","PARK ISTRE LLC","Approved","2019-03-25","288110","New device licence application"
"ARTIC-L 3D TI SPINAL SYSTEM WITH TIONIC TECHNOLOGY","N/A","MEDTRONIC SOFAMOR DANEK USA, INC.","Approved","2019-03-25","288646","New device licence application"
"ACTEMRA","Tocilizumab","Hoffmann La Roche Limited","Approved","2019-03-21","215415","Supplement to a New Drug Submission"
"MI1210 SYNCHRONY ST FOR NON-EAS PATIENTS","N/A","MED-EL ELEKTROMEDIZINISCHE GERAETE GMBH","Approved","2019-03-21","277713","New device licence application"
"LEAD LOCALIZATION","N/A","BRAINLAB AG","Approved","2019-03-21","281728","New device licence application"
"SOLANA HSV 1+2/VZV CONTROL SET","N/A","DIAGNOSTIC HYBRIDS, INC. - ALSO TRADING AS QUIDEL CORPORATION","Approved","2019-03-21","291020","New device licence application"
"QUIDEL MOLECULAR STREP A+G CONTROL SET","N/A","DIAGNOSTIC HYBRIDS, INC. - ALSO TRADING AS QUIDEL CORPORATION","Approved","2019-03-21","290212","New device licence application"
"SOLANA HSV 1+2/VZV CONTROL SET","N/A","DIAGNOSTIC HYBRIDS, INC. - ALSO TRADING AS QUIDEL CORPORATION","Approved","2019-03-21","291020","New device licence application"
"QUIDEL MOLECULAR STREP A+G CONTROL SET","N/A","DIAGNOSTIC HYBRIDS, INC. - ALSO TRADING AS QUIDEL CORPORATION","Approved","2019-03-21","290212","New device licence application"
"IMBRUVICA","ibrutinib","Janssen Inc.","Approved","2019-03-20","214952","Supplement to a New Drug Submission"
"TRELEGY ELLIPTA","fluticasone furoate, umeclidinium bromide, vilanterol trifenatate","Glaxosmithkline Inc","Approved","2019-03-20","215148","Supplement to a New Drug Submission"
"NM/CT 850 AND NM/CT 860 SERIES","N/A","GE MEDICAL SYSTEMS ISRAEL, FUNCTIONAL IMAGING","Approved","2019-03-20","288270","New device licence application"
"CAPIOX NX19 OXYGENATOR WITH INTEGRATED ARTERIAL FILTER AND ULTRAPRIME TECHNOLOGY","N/A","TERUMO CARDIOVASCULAR SYSTEMS CORPORATION","Approved","2019-03-19","286153","New device licence application"
"MI1210 SYNCHRONY ST FOR EAS PATIENTS","N/A","MED-EL ELEKTROMEDIZINISCHE GERAETE GMBH","Approved","2019-03-18","277719","New device licence application"
"ELEKTA UNITY","N/A","ELEKTA LIMITED","Approved","2019-03-18","289109","New device licence application"
"QUIDEL MOLECULAR C. DIFFICILE CONTROL SET","N/A","DIAGNOSTIC HYBRIDS, INC. - ALSO TRADING AS QUIDEL CORPORATION","Approved","2019-03-18","290051","New device licence application"
"QUIDEL MOLECULAR STREP A+G CONTROL SET","N/A","DIAGNOSTIC HYBRIDS, INC. - ALSO TRADING AS QUIDEL CORPORATION","Approved","2019-03-18","290212","New device licence application"
"SOLANA HSV 1+2/VZV CONTROL SET","N/A","DIAGNOSTIC HYBRIDS, INC. - ALSO TRADING AS QUIDEL CORPORATION","Approved","2019-03-18","291020","New device licence application"
"QUIDEL MOLECULAR GBS CONTROL SET","N/A","DIAGNOSTIC HYBRIDS, INC. - ALSO TRADING AS QUIDEL CORPORATION","Approved","2019-03-18","291053","New device licence application"
"QUIDEL MOLECULAR TRICHOMONAS CONTROL SET","N/A","DIAGNOSTIC HYBRIDS, INC. - ALSO TRADING AS QUIDEL CORPORATION","Approved","2019-03-18","291995","New device licence application"
"PROVATA IMPLANT SYSTEM","N/A","SOUTHERN IMPLANTS PTY LTD.","Approved","2019-03-15","289307","New device licence application"
"ANKYLOS IMPLANT SYSTEM","N/A","DENTSPLY IMPLANTS MANUFACTURING GMBH","Approved","2019-03-15","296078","New device licence application"
"XIVE IMPLANT SYSTEM","N/A","DENTSPLY IMPLANTS MANUFACTURING GMBH","Approved","2019-03-15","296380","New device licence application"
"TRUXIMA","Rituximab","Celltrion Healthcare Co. Ltd.","Cancelled","2019-03-14","207702","New Drug Submission"
"TRUXIMA","Rituximab","Celltrion Healthcare Co. Ltd.","Cancelled","2019-03-14","208107","New Drug Submission"
"PEEK BIOSOLUTION","N/A","MERZ DENTAL GMBH","Approved","2019-03-14","283796","New device licence application"
"KEYTRUDA","Pembrolizumab","Merck Canada Inc.","Approved","2019-03-13","215699","Supplement to a New Drug Submission"
"RAPID RESPONSE HEMOGLOBIN A1C ANALYZER","N/A","BTNX INC.","Approved","2019-03-13","286090","New device licence application"
"ESTECEM II","N/A","TOKUYAMA DENTAL CORPORATION","Approved","2019-03-12","296096","New device licence application"
"SMARTLINX VITALS PLUS","N/A","CAPSULE TECHNOLOGIE SAS","Approved","2019-03-11","293589","New device licence application"
"ERYTRA EFLEXIS","N/A","DIAGNOSTIC GRIFOLS S.A.","Approved","2019-03-08","288122","New device licence application"
"ELECSYS PAPP-A","N/A","ROCHE DIAGNOSTICS GMBH","Approved","2019-03-08","287432","New device licence application"
"MULTI-DRUG RAPID TEST PANEL WITH ADULTERATION (URINE)","N/A","HANGZHOU ALLTEST BIOTECH CO., LTD.","Approved","2019-03-08","274974","New device licence application"
"COBAS CT/NG","N/A","ROCHE MOLECULAR SYSTEMS, INC","Approved","2019-03-08","277485","New device licence application"
"QUANTON CAL","N/A","IMMUNDIAGNOSTIK AG","Approved","2019-03-08","278654","New device licence application"
"CAPIOX NX19 OXYGENATOR WITH INTEGRATED ARTERIAL FILTER AND ULTRAPRIME TECHNOLOGY","N/A","TERUMO CARDIOVASCULAR SYSTEMS CORPORATION","Approved","2019-03-08","286153","New device licence application"
"ELECSYS FREE BETA HCG","N/A","ROCHE DIAGNOSTICS GMBH","Approved","2019-03-08","287431","New device licence application"
"NOVASIGHT HYBRID SYSTEM","N/A","CONAVI MEDICAL INC.","Approved","2019-03-08","288548","New device licence application"
"VBEAM PRIMA","N/A","CANDELA CORPORATION","Approved","2019-03-07","288035","New device licence application"
"XIENCE SIERRA EVEROLIMUS ELUTING CORONARY STENT SYSTEM","N/A","ABBOTT VASCULAR","Approved","2019-03-07","289113","New device licence application"
"SYNTHETIC MINERAL COLLAGEN COMPOSITE DENTAL BONE GRAFT MATRIX","N/A","COLLAGEN MATRIX, INC.","Approved","2019-03-07","290059","New device licence application"
"NEO IRIS","N/A","IMMUCOR INC.","Approved","2019-03-07","291930","New device licence application"
"ARIES C. DIFFICILE ASSAY","N/A","LUMINEX CORPORATION","Approved","2019-03-05","272662","New device licence application"
"INFLUVAC TETRA","quadrivalent influenza vaccine, surface antigen, inactivated","BGP Pharma ULC","Approved","2019-03-01","200726","New Drug Submission"
"SURGICEL POWDER","N/A","ETHICON LLC","Approved","2019-03-01","282003","New device licence application"
"DENTIUM IMPLANT SYSTEM - ABUTMENT","N/A","DENTIUM CO., LTD.","Approved","2019-03-01","287637","New device licence application"
"SQUID LIQUID EMBOLIC AGENT","N/A","BALT USA, LLC","Approved","2019-02-28","286629","New device licence application"
"UNIVERSAL ORBITAL FLOOR SYSTEM","N/A","STRYKER LEIBINGER GMBH & CO. KG","Approved","2019-02-28","293679","New device licence application"
"BIEN-AIR WAVEONE GOLD KIT","N/A","DENTSPLY INTERNATIONAL, INC. DENTSPLY TULSA DENTAL SPECIALTIES","Approved","2019-02-27","295125","New device licence application"
"VIZIMPRO","dacomitinib","Pfizer Canada Inc.","Approved","2019-02-26","214572","New Drug Submission (New Active Substance)"
"REXULTI","brexpiprazole","Otsuka Pharmaceutical Co Ltd.","Approved","2019-02-22","205854","Supplement to a New Drug Submission"
"LORBRENA","lorlatinib","Pfizer Canada Inc.","Approved","2019-02-22","215733","New Drug Submission"
"DEEP BRAIN STIMULATON (DBS) EXTERNAL PULSE GENERATOR","N/A","ST. JUDE MEDICAL","Approved","2019-02-22","289050","New device licence application"
"ALPHENIX INFX-8000C","N/A","CANON MEDICAL SYSTEMS CORPORATION","Approved","2019-02-22","293430","New device licence application"
"CUBICIN, CUBICIN RF","daptomycin","Cubist Pharmaceuticals LLC","Approved","2019-02-21","214792","Supplement to a New Drug Submission"
"MERICRON XL STERILISED SURGICAL NEEDLED SUTURE","N/A","Meril Endo Surgery Private Limited","Approved","2019-02-21","285095","New device licence application"
"HEMORO 4 ONE","N/A","DWA GMBH & CO. KG","Approved","2019-02-21","285241","New device licence application"
"DEXCOM G6 CONTINUOUS GLUCOSE MONITORING SYSTEM","N/A","DEXCOM, INC.","Approved","2019-02-21","286145","New device licence application"
"ONETOUCH VERIO REFLECT METER","N/A","LIFESCAN EUROPE GMBH","Approved","2019-02-21","290190","New device licence application"
"ST INTERNAL SYSTEM","N/A","MEGAGEN IMPLANT CO., LTD.","Approved","2019-02-21","292390","New device licence application"
"ALPHENIX INFX-8000H","N/A","CANON MEDICAL SYSTEMS CORPORATION","Approved","2019-02-21","293429","New device licence application"
"ALPHENIX INFX-8000V","N/A","CANON MEDICAL SYSTEMS CORPORATION","Approved","2019-02-21","293431","New device licence application"
"ELLEX 2RT","N/A","ELLEX MEDICAL PTY LTD","Approved","2019-02-19","287256","New device licence application"
"FILMARRAY TORCH","N/A","BIOFIRE DIAGNOSTICS, LLC.","Approved","2019-02-19","291968","New device licence application"
"SEMGLEE","Insulin glargine","BGP Pharma ULC","Cancelled by sponsor","2019-02-15","202772","New Drug Submission"
"ENVARSUS PA","tacrolimus","Endo Ventures Ltd","Approved","2019-02-15","209210","New Drug Submission"
"G-AENIAL FLO X","N/A","GC AMERICA INC.","Approved","2019-02-15","289976","New device licence application"
"SOLEA","N/A","CONVERGENT DENTAL, INC.","Approved","2019-02-15","292769","New device licence application"
"YESCARTA","Axicabtagene ciloleucel","Gilead Sciences Canada, Inc.","Approved","2019-02-13","218389","New Drug Submission"
"HELIX ACP SYSTEM","N/A","Nuvasive Inc.","Approved","2019-02-13","278580","New device licence application"
"TRAJECTORY PLANNING","N/A","Brainlab AG","Approved","2019-02-13","281724","New device licence application"
"ULTRASONIC A/B SCANNER AND PACHYMETER UD-800","N/A","TOMEY CORPORATION","Approved","2019-02-13","286151","New device licence application"
"ORTHOPANTOMOGRAPH OP 3D","N/A","PALODEX GROUP OY","Approved","2019-02-13","287446","New device licence application"
"COBAS T 511/T711 SYSTEM","N/A","ROCHE DIAGNOSTICS GMBH","Approved","2019-02-12","290260","New device licence application"
"CONTROLS FOR COBAS T SYSTEMS","N/A","ROCHE DIAGNOSTICS GMBH","Approved","2019-02-12","293401","New device licence application"
"EQUINOXE STEMLESS SHOULDER","N/A","Exactech Inc.","Approved","2019-02-11","288033","New device licence application"
"COBAS 6800/8800 ASAP SOFTWARE","N/A","Roche Molecular Systems, Inc","Approved","2019-02-11","291903","New device licence application"
"OXERVATE","Cenegermin","Dompé farmaceutici S.p.A.","Approved","2019-02-08","218145","New Drug Submission (Priority Review)"
"RENVELA","sevelamer carbonate","Sanofi-aventis Canada Inc","Approved","2019-02-07","211598","Supplement to a New Drug Submission"
