Drug Name,Brand Name,Generic Name,PDF Links,Therapeutic Area,Recommendation,Status,Submission Date,Recommendation Date,Project Number
OcriplasminOpens in new tab,Jetrea,Ocriplasmin,"['/sites/default/files/cdr/tracking/cdr_SR0337_Jetrea.pdf', '/sites/default/files/cdr/clinical/SR0337_Jetrea_CL_Report_e.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0337_Jetrea_PE_Report_e.pdf', '/sites/default/files/cdr/complete/SR0337_complete_Jetrea_Dec-23-13.pdf']",Vitreomacular adhesion,List with criteria/condition,Complete,06-Jun-13,20-Dec-13,SR0337-000
Adcetris for systemic Anaplast...Opens in new tab,Adcetris,Brentuximab vedotin,"['/sites/default/files/pcodr/pcodr-provfund_adcetris-salcl.pdf', '/sites/default/files/pcodr/pcodr-adcetris-salcl-fn-rec.pdf', '/sites/default/files/pcodr/pcodr-adcetris-salcl-fn-cgr.pdf', '/sites/default/files/pcodr/pcodr-adcetris-salcl-fn-egr.pdf', '/sites/default/files/pcodr/pcodr-adcetris-salcl-in-rec.pdf', '/sites/default/files/pcodr/pcodr-adcetris-salcl-pagfdk.pdf', '/sites/default/files/pcodr/pcodr-adcetris-salcl-coi-lfc.pdf']",Systemic Anaplastic Large Cell Lymphoma,Reimburse with clinical criteria and/or conditions,Complete,15-Mar-13,05-Dec-13,PC0021-000
Tafinlar for Metastatic Melano...Opens in new tab,Tafinlar,Dabrafenib,"['/sites/default/files/pcodr/pcodr-provfund_tafinlar-metmel.pdf', '/sites/default/files/pcodr/pcodr-tafinlar-metmla-fn-rec.pdf', '/sites/default/files/pcodr/pcodr-tafinlar-metmla-fn-cgr.pdf', '/sites/default/files/pcodr/pcodr-tafinlar-metmla-fn-egr.pdf', '/sites/default/files/pcodr/pcodr-tafinlar-metmla-in-rec.pdf', '/sites/default/files/pcodr/pcodr-tafinlar-pag-fdk-in-rec.pdf', '/sites/default/files/pcodr/pcodr-tafinlar-in-fdk-gsk.pdf', '/sites/default/files/pcodr/pcodr-tafinlar-ptfdk-mnc.pdf', '/sites/default/files/pcodr/pcodr-tafinlar-coi-mnc.pdf', '/sites/default/files/pcodr/pcodr-tafinlar-ptfdk-sysf.pdf', '/sites/default/files/pcodr/pcodr-tafinlar-coi-sysf.pdf']",Metastatic Melanoma,Reimburse with clinical criteria and/or conditions,Complete,18-Mar-13,05-Dec-13,PC0025-000
Pemetrexed Alimta for Advanced...Opens in new tab,Alimta,Pemetrexed,"['/sites/default/files/pcodr/pcodr_provfund_alimta-nsclc.pdf', '/sites/default/files/pcodr/pcodr-alimta-ns-nsclc-fn-rec.pdf', '/sites/default/files/pcodr/pcodr-alimta-ns-nsclc-fn-cgr.pdf', '/sites/default/files/pcodr/pcodr-alimta-ns-nsclc-fn-egr.pdf', '/sites/default/files/pcodr/pcodr-alimta-ns-nsclc-in-rec.pdf', '/sites/default/files/pcodr/pcodr-alimta-pagfdk-inrec.pdf', '/sites/default/files/pcodr/pcodr-alimta-infdk-elilc.pdf', '/sites/default/files/pcodr/pcodr-alimta-coi-ccsn.pdf', '/sites/default/files/pcodr/pcodr-alimta-coi-lcc.pdf']",Advanced or Metastatic Non-Squamous Non-Small Cell Lung Cancer,Reimburse with clinical criteria and/or conditions,Complete,31-May-13,19-Nov-13,PC0027-000
Ulipristal acetateOpens in new tab,Fibristal,Ulipristal acetate,"['/sites/default/files/cdr/tracking/cdr_SR0326_Fibristal.pdf', '/sites/default/files/cdr/clinical/SR0326_Fibristal_CL_Report_e.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0326_Fibristal_PE_Report_e.pdf', '/sites/default/files/cdr/complete/complete_SR0326_Fibristal_19-Nov-13_e.pdf']",Uterine fibroids,List with criteria/condition,Complete,17-Apr-13,15-Nov-13,SR0326-000
SaxagliptinOpens in new tab,Onglyza,Saxagliptin,"['https://www.cadth.ca/sites/default/files/DRR/2024/TS0002%20Updated%20CADTH%20Reimbursement%20Recommendations%20.pdf', 'https://www.cadth.ca/sites/default/files/cdr/tracking/cdr_SR0329_Onglyza-2.pdf', 'https://www.cadth.ca/sites/default/files/cdr/complete/complete_SR0329_Onglyza-preNOC_19-Nov-13_e.pdf', 'https://www.cadth.ca/sites/default/files/cdr/clinical/SR0329_Onglyza_CL_Report_e.pdf', 'https://www.cadth.ca/sites/default/files/cdr/pharmacoeconomic/SR0329_Onglyza_PE_Report_e.pdf']","Diabetes mellitus, type 2",List with criteria/condition,Complete,09-May-13,15-Nov-13,SR0329-000
Stivarga for Metastatic Colore...Opens in new tab,Stivarga (CRC),Regorafenib,"['/sites/default/files/pcodr/pcodr_provfund_stivarga-mcrc.pdf', '/sites/default/files/pcodr/pcodr-stivargamcrc-fn-rec.pdf', '/sites/default/files/pcodr/pcodr-stivargamcrc-fn-cgr.pdf', '/sites/default/files/pcodr/pcodr-stivargamcrc-fn-egr.pdf', '/sites/default/files/pcodr/pcodr-stivargamcrc-in-rec.pdf', '/sites/default/files/pcodr/pcodr-stivarga-mcrc-pagfdk-inr.pdf', '/sites/default/files/pcodr/pcodr-stivarga-mcrc-fdk-bayer.pdf', '/sites/default/files/pcodr/pcodr-stivarga-mcrc-ptfdk-ccac.pdf', '/sites/default/files/pcodr/pcodr-stivarga-mcrc-coi-ccac.pdf']",Metastatic Colorectal Cancer,Do not reimburse,Complete,22-Mar-13,15-Nov-13,PC0026-000
Zytiga for Metastatic Castrati...Opens in new tab,Zytiga,Abiraterone acetate,"['/sites/default/files/pcodr/pcodr_profund_abiraterone_zytiga_mcrpc.pdf', '/sites/default/files/pcodr/pcodr-zytiga-mcrpc-fn-rec.pdf', '/sites/default/files/pcodr/pcodr-zytiga-mcrpc-fn-cgr.pdf', '/sites/default/files/pcodr/pcodr-zytiga-mcrpc-fn-egr.pdf', '/sites/default/files/pcodr/pcodr-zytiga-mcrpc-in-rec.pdf', '/sites/default/files/pcodr/pcodr-zytiga-pag-fdk-in-rec.pdf', '/sites/default/files/pcodr/pcodr-zytiga-in-fdk-janssen.pdf', '/sites/default/files/pcodr/pcodr-zytiga-in-fdk-ccsn.pdf', '/sites/default/files/pcodr/pcodr-zytiga-coi-ccsn.pdf', '/sites/default/files/pcodr/pcodr-zytiga-in-fdk-pcc.pdf', '/sites/default/files/pcodr/pcodr-zytiga-coi-pcc.pdf']",Metastatic Castration Resistant Prostate Cancer,Reimburse with clinical criteria and/or conditions,Complete,28-Mar-13,22-Oct-13,PC0028-000
Mekinist for Metastatic Melano...Opens in new tab,Mekinist,Trametinib,"['/sites/default/files/pcodr/pcodr_provfund_mekinist-metmel.pdf', '/sites/default/files/pcodr/pcodr-mekinist-mm-fn-rec.pdf', '/sites/default/files/pcodr/pcodr-mekinist-metmela-fn-cgr.pdf', '/sites/default/files/pcodr/pcodr-mekinist-metmela-fn-egr.pdf', '/sites/default/files/pcodr/pcodr-mekinist-metmela-in-rec.pdf', '/sites/default/files/pcodr/pcodr-mekinist-pag-fdk-in-rec.pdf', '/sites/default/files/pcodr/pcodr-mekinist-in-fdk-gsk.pdf', '/sites/default/files/pcodr/pcodr-mekinist-in-fdk-mnc.pdf', '/sites/default/files/pcodr/pcodr-mekinist-coi-mnc.pdf']",Metastatic Melanoma,Reimburse with clinical criteria and/or conditions,Complete,06-May-13,22-Oct-13,PC0030-000
Revlimid for Multiple Myeloma ...Opens in new tab,Revlimid,Lenalidomide,"['/sites/default/files/pcodr/pcodr_provfund_revlimid-mm.pdf', '/sites/default/files/pcodr/pcodr-revlimid-mm-fn-rec.pdf', '/sites/default/files/pcodr/pcodr-revlimid-mm-fn-cgr.pdf', '/sites/default/files/pcodr/pcodr-revlimid-mm-fn-egr.pdf', '/sites/default/files/pcodr/pcodr-revlimid-mm-in-rec.pdf', '/sites/default/files/pcodr/pcodr-revlimid-pag-fdk-in-rec.pdf', '/sites/default/files/pcodr/pcodr-revlimid-in-fdk-celgene.pdf', '/sites/default/files/pcodr/pcodr-revlimid-coi-mc.pdf']",Multiple Myeloma (as maintenance therapy),Reimburse with clinical criteria and/or conditions,Complete,05-Apr-13,22-Oct-13,PC0029-000
PerampanelOpens in new tab,Fycompa,Perampanel,"['/sites/default/files/cdr/tracking/cdr_SR0316_Fycompa.pdf', '/sites/default/files/cdr/complete/cdr_complete_Fycompa_October-21-13_e.pdf']","Epilepsy, partial onset seizures",List with criteria/condition,Complete,08-Mar-13,17-Oct-13,SR0316-000
Azilsartan medoxomilOpens in new tab,Edarbi,Azilsartan medoxomil,"['/sites/default/files/cdr/tracking/cdr_SR0317_Edarbi.pdf', '/sites/default/files/cdr/complete/cdr_complete_Edarbi_October-21-13_e.pdf']",Hypertension,Do not list at the submitted price,Complete,08-Mar-13,17-Oct-13,SR0317-000
Azilsartan medoxomil + chlorth...Opens in new tab,Edarbyclor,Azilsartan medoxomil + chlorthalidone,"['/sites/default/files/cdr/tracking/cdr_SR0318_Edarbyclor.pdf', '/sites/default/files/cdr/complete/cdr_complete_Edarbyclor_October-21-13_e.pdf']",Hypertension,Do not list,Complete,08-Mar-13,17-Oct-13,SR0318-000
Linagliptin-metforminOpens in new tab,Jentadueto,Linagliptin-metformin,"['https://www.cadth.ca/sites/default/files/DRR/2024/TS0002%20Updated%20CADTH%20Reimbursement%20Recommendations%20.pdf', 'https://www.cadth.ca/sites/default/files/cdr/tracking/cdr_SR0306_Jentadeuto.pdf', 'https://www.cadth.ca/sites/default/files/cdr/complete/cdr_complete_Jentadueto_October-21-13_e.pdf']","Diabetes mellitus, type 2",List with criteria/condition,Complete,08-Mar-13,17-Oct-13,SR0306-000
Zolpidem tartrateOpens in new tab,Sublinox,Zolpidem tartrate,"['/sites/default/files/cdr/tracking/cdr_SR0314_Sublinox.pdf', '/sites/default/files/cdr/complete/cdr_complete_Sublinox_September_27_13.pdf']",Insomnia,Do not list,Complete,07-Mar-13,25-Sep-13,SR0314-000
Dimethyl fumarateOpens in new tab,Tecfidera,Dimethyl fumarate,"['/sites/default/files/cdr/tracking/cdr_SR0309_Tecfidera.pdf', '/sites/default/files/cdr/complete/cdr_complete_Tecfidera_September_30-13.pdf']","Multiple sclerosis, relapsing-remitting",List with criteria/condition,Complete,04-Feb-13,25-Sep-13,SR0309-000
EverolimusOpens in new tab,Afinitor,Everolimus,"['/sites/default/files/cdr/tracking/cdr_SR0315_Afinitor.pdf', '/sites/default/files/cdr/complete/cdr_compete_Afinitor_September_27_13.pdf']",Renal angiomyolipoma associated with tuberous sclerosis complex (TSC),Do not list,Complete,08-Mar-13,25-Sep-13,SR0315-000
Votrient for metastatic renal ...Opens in new tab,Votrient,Pazopanib hydrochloride,"['/sites/default/files/pcodr/pcodr-provfund_votrientmrcc-re.pdf', '/sites/default/files/pcodr/pcodr-votrientmrccre-fn-rec.pdf', '/sites/default/files/pcodr/pcodr-votrientmrccre-fn-cgr.pdf', '/sites/default/files/pcodr/pcodr-votrientmrccre-fn-egr.pdf', '/sites/default/files/pcodr/pcodr-votrientmrccre-in-rec.pdf', '/sites/default/files/pcodr/pcodr-votrientmrccre-pag-fdbk.pdf', '/sites/default/files/pcodr/pcodr-votrientmrccre-infdk-gsk.pdf', '/sites/default/files/pcodr/pcodr-votrientmrccre-ptfdk-kcc.pdf', '/sites/default/files/pcodr/pcodr-votrientmrccre-coi-kcc.pdf']",Metastatic Renal Cell Carcinoma,Reimburse,Complete,20-Feb-13,29-Aug-13,PC0022-000
Adcetris for Hodgkin Lymphoma ...Opens in new tab,Adcetris,Brentuximab vedotin,"['/sites/default/files/pcodr/pcodr-provfund_adcetris-hl.pdf', '/sites/default/files/pcodr/pcodr-adcetrishl-fn-rec.pdf', '/sites/default/files/pcodr/pcodr-adcetrishl-fn-cgr.pdf', '/sites/default/files/pcodr/pcodr-adcetrishl-fn-egr.pdf', '/sites/default/files/pcodr/pcodr-adcetrishl-in-rec.pdf', '/sites/default/files/pcodr/pcodr-adcetrishl-pag-fdk-inrec.pdf', '/sites/default/files/pcodr/pcodr-adcetrishl-in-fdk-sg.pdf', '/sites/default/files/pcodr/pcodr-adcetrishl-pt-fdk-lfc.pdf', '/sites/default/files/pcodr/pcodr-adcetrishl-coi-lfc.pdf']",Hodgkin Lymphoma,Reimburse with clinical criteria and/or conditions,Complete,14-Mar-13,29-Aug-13,PC0020-000
Interferon beta-1aOpens in new tab,Rebif,Interferon beta-1a,"['/sites/default/files/cdr/tracking/cdr_SR0298_Rebif.pdf', '/sites/default/files/cdr/complete/cdr_complete_Rebif_Aug-19-13.pdf']",Clinically isolated syndrome,Do not list,Complete,08-Mar-13,15-Aug-13,SR0298-000
Perjeta for Metastatic Breast ...Opens in new tab,Perjeta Herceptin Combo Pack,Pertuzumab,"['/sites/default/files/pcodr/pcodr_profund_pertuzumab_perjeta_mbc.pdf', '/sites/default/files/pcodr/pcodr-perjetacp-mbc-fn-rec.pdf', '/sites/default/files/pcodr/pcodr-perjetacp-mbc-fn-cgr.pdf', '/sites/default/files/pcodr/pcodr-perjetacp-mbc-fn-egr.pdf', '/sites/default/files/pcodr/pcodr-perjetacp-mbc-in-rec.pdf', '/sites/default/files/pcodr/pcodr-perjetacp-pag-fdk-in-rec.pdf', '/sites/default/files/pcodr/pcodr-perjetacp-mbc-in-fdk-hlr.pdf', '/sites/default/files/pcodr/pcodr-perjetacp-mbc-coi-cbcn.pdf', '/sites/default/files/pcodr/pcodr-perjetacp-mbc-coi-rethin.pdf']",Metastatic Breast Cancer,Reimburse with clinical criteria and/or conditions,Complete,02-Nov-12,01-Aug-13,PC0018-000
Xtandi for metastatic Castrati...Opens in new tab,Xtandi,Enzalutamide,"['/sites/default/files/pcodr/pcodr_profund_enzalutamide_xtandi_mcrpc.pdf', '/sites/default/files/pcodr/pcodr-xtandi-fn-rec.pdf', '/sites/default/files/pcodr/pcodr-xtandi-mcrpc-fn-cgr.pdf', '/sites/default/files/pcodr/pcodr-xtandi-mcrpc-fn-egr.pdf', '/sites/default/files/pcodr/pcodr-xtandi-mcrpc-in-rec.pdf', '/sites/default/files/pcodr/pcodr-xtandi-pag-fdk-in-rec.pdf', '/sites/default/files/pcodr/pcodr-xtandi-in-fdk-astellas.pdf', '/sites/default/files/pcodr/pcodr-xtandi-coi-pcc.pdf', '/sites/default/files/pcodr/pcodr-xtandi-coi-ccsn.pdf']",Metastatic Castration Resistant Prostate Cancer,Reimburse with clinical criteria and/or conditions,Complete,04-Mar-13,23-Jul-13,PC0023-000
Dabigatran etexilateOpens in new tab,Pradaxa,Dabigatran etexilate,"['/sites/default/files/cdr/tracking/cdr_SF0320_Pradaxa_SPAF_RfA.pdf', '/sites/default/files/cdr/complete/cdr_complete_Pradaxa-SPAF-RfA_July-22-13_e.pdf']",Atrial fibrillation prevention of stroke and systemic embolism,List with clinical criteria and/or conditions,Complete,18-Mar-13,18-Jul-13,SF0320-000
RivaroxabanOpens in new tab,Xarelto,Rivaroxaban,"['/sites/default/files/cdr/tracking/cdr_SF0321_Xarelto_SPAF_RfA.pdf', '/sites/default/files/cdr/complete/cdr_complete_Xarelto-SPAF-RfA_July-22-13_e.pdf']",,List with clinical criteria and/or conditions,Complete,18-Mar-13,18-Jul-13,SF0321-00
AbataceptOpens in new tab,Orencia,Abatacept,"['/sites/default/files/cdr/tracking/cdr_tracking_Orencia_RA.pdf', '/sites/default/files/cdr/complete/cdr_complete_Orencia-RA_July-22-13_e.pdf']","Arthritis, rheumatoid",List with clinical criteria and/or conditions,Complete,29-Nov-12,18-Jul-13,SR0299-000
EculizumabOpens in new tab,Soliris,Eculizumab,"['/sites/default/files/cdr/tracking/cdr_tracking_Soliris.pdf', '/sites/default/files/cdr/complete/cdr_complete_Soliris-aHUS_July-23-13.pdf']","Hemolytic Uremic Syndrome, Atypical",Do not list,Complete,07-Jan-13,18-Jul-13,SR0304-000
AdalimumabOpens in new tab,Humira,Adalimumab,"['/sites/default/files/cdr/tracking/cdr_SR0308_Humira-JIA.pdf', '/sites/default/files/cdr/complete/cdr_complete_Humira-JIA_July-22-13_e.pdf']","Arthritis, juvenile idiopathic",List with clinical criteria and/or conditions,Complete,04-Feb-13,18-Jul-13,SR0308-000
NebivololOpens in new tab,Bystolic,Nebivolol,"['/sites/default/files/cdr/tracking/cdr_SR0307_Bystolic.pdf', '/sites/default/files/cdr/complete/CDR_complete_Bystolic_July-22-13_e.pdf']",Hypertension,Do not list at the submitted price,Complete,04-Feb-13,18-Jul-13,SR0307-000
Tykerb Letrozole for Metastati...Opens in new tab,Tykerb (in combination with Letrozole),Lapatinib,"['/sites/default/files/pcodr/pcodr-provfund_tykerb-mbc.pdf', '/sites/default/files/pcodr/pcodr-tykerb-mbc-fn-rec.pdf', '/sites/default/files/pcodr/pcodr-tykerb-mbc-fn-cgr.pdf', '/sites/default/files/pcodr/pcodr-tykerb-mbc-fn-egr.pdf', '/sites/default/files/pcodr/pcodr-tykerb-mbc-in-rec.pdf', '/sites/default/files/pcodr/pcodr-tykerbmbc-pag-fdk-in-rec.pdf', '/sites/default/files/pcodr/pcodr-tykerbmbc-in-fdk-gsk.pdf']",Metastatic Breast Cancer,Do not reimburse,Complete,14-Dec-12,05-Jul-13,PC0019-000
TelaprevirOpens in new tab,Incivek,Telaprevir,"['/sites/default/files/cdr/tracking/cdr_SF0311_Incivek-HCV-HIV_RfA.pdf', '/sites/default/files/cdr/complete/cdr_complete_Incivek%20RFA-SR0311-June-14-13.pdf']","Hepatitis C, chronic",List with criteria/condition,Complete,19-Feb-13,13-Jun-13,SF0311-000
BoceprevirOpens in new tab,Victrelis,Boceprevir,"['/sites/default/files/cdr/tracking/cdr_SF0312_Victrelis-HIV-HCV_RfA.pdf', '/sites/default/files/cdr/complete/cdr_complete_SF0312-Victrelis_RFA_June-14-13.pdf']","Hepatitis C, chronic",List with criteria/condition,Complete,19-Feb-13,13-Jun-13,SF0312-000
TelaprevirOpens in new tab,Incivek,Telaprevir,"['/sites/default/files/cdr/tracking/cdr_tracking_Incivek_RfA.pdf', '/sites/default/files/cdr/complete/cdr_complete_Incivek%20RFA-SR0305-June-14-13.pdf']","Hepatitis C, chronic",List with criteria/condition,Complete,21-Dec-12,13-Jun-13,SF0305-000
BoceprevirOpens in new tab,Victrelis,Boceprevir,"['/sites/default/files/cdr/tracking/cdr_tracking_Victrelis_RfA.pdf', '/sites/default/files/cdr/complete/cdr_complete_SF0303-Victrelis-RFA_June-14-13.pdf']","Hepatitis C, chronic",List with criteria/condition,Complete,21-Dec-12,13-Jun-13,SF0303-000
Palonosetron hydrochlorideOpens in new tab,Aloxi (injection),Palonosetron hydrochloride,"['/sites/default/files/cdr/tracking/cdr_tracking_Aloxi-IV.pdf', '/sites/default/files/cdr/complete/cdr_complete_Aloxi%20IV_may-17-13.pdf']",Chemotherapy-induced nausea and vomiting,Do not list at the submitted price,Complete,05-Oct-12,15-May-13,SR0293-000
Elvitegravir/  Cobicistat/  Em...Opens in new tab,Stribild,Elvitegravir/  Cobicistat/  Emtricitabine/  Tenofovir Disoproxil Fumarate,"['/sites/default/files/cdr/tracking/cdr_tracking_Stribild.pdf', '/sites/default/files/cdr/complete/cdr_complete_Stribild_May-17-13.pdf']",HIV infection,List with criteria/condition,Complete,30-Nov-12,15-May-13,SR0301-000
Glycopyrronium bromideOpens in new tab,Seebri,Glycopyrronium bromide,"['/sites/default/files/cdr/tracking/cdr_tracking_Seebri.pdf', '/sites/default/files/cdr/complete/cdr_complete_Seebri-May-17-13.pdf']",Chronic obstructive pulmonary disease,List with criteria/condition,Complete,30-Nov-12,15-May-13,SR0300-000
Xalkori for Advanced NSCLC - R...Opens in new tab,Xalkori,Crizotinib,"['/sites/default/files/pcodr/pcodr-provfund_xalkorire-nsclc.pdf', '/sites/default/files/pcodr/pcodr-xalkoriresub-fn-rec.pdf', '/sites/default/files/pcodr/pcodr-xalkoriresub-fn-cgr.pdf', '/sites/default/files/pcodr/pcodr-xalkoriresub-fn-egr.pdf', '/sites/default/files/pcodr/pcodr-xalkoriresub-in-rec.pdf', '/sites/default/files/pcodr/pcodr-xalkorire-pag-fdk-in-rec.pdf', '/sites/default/files/pcodr/pcodr-xalkoriresub-fdk-pfizer.pdf', '/sites/default/files/pcodr/pcodr-xalkorire-fdk-lcc.pdf', '/sites/default/files/pcodr/pcodr-xalkoriresub-coi-lcc.pdf']",Advanced or Metastatic Non-Small Cell Lung Cancer,Reimburse with clinical criteria and/or conditions,Complete,23-Oct-12,02-May-13,PC0017-000
Palonosetron hydrochlorideOpens in new tab,Aloxi (capsule),Palonosetron hydrochloride,"['/sites/default/files/cdr/tracking/cdr_tracking_Aloxi-capsules.pdf', '/sites/default/files/cdr/complete/cdr_complete_Aloxi%20PO_April-25-13.pdf']",Chemotherapy-induced nausea and vomiting,Do not list,Complete,05-Oct-12,24-Apr-13,SR0294-000
PirfenidoneOpens in new tab,Esbriet,Pirfenidone,"['/sites/default/files/cdr/tracking/cdr_tracking_Esbriet.pdf', '/sites/default/files/cdr/complete/cdr_complete_Esbriet_April-24-13.pdf']",Idiopathic pulmonary fibrosis,Do not list,Complete,05-Oct-12,18-Apr-13,SR0292-000
Doxycycline monohydrateOpens in new tab,Apprilon,Doxycycline monohydrate,"['/sites/default/files/cdr/tracking/cdr_tracking_Apprilon.pdf', '/sites/default/files/cdr/complete/cdr_complete_Apprilon_April-1-13.pdf']",Rosacea,Do not list,Complete,27-Apr-12,27-Mar-13,SR0279-000
Collagenase clostridium histol...Opens in new tab,Xiaflex,Collagenase clostridium histolyticum,"['/sites/default/files/cdr/tracking/cdr_tracking_Xiaflex.pdf', '/sites/default/files/cdr/complete/cdr_complete_Xiaflex_April-1-13.pdf']",Dupuytren’s contracture,List with criteria/condition,Complete,30-Aug-12,27-Mar-13,SR0287-000
Velcade for Multiple Myeloma -...Opens in new tab,Velcade,Bortezomib,"['/sites/default/files/pcodr/pcodr-provfund_velcade-mm.pdf', '/sites/default/files/pcodr/pcodr-velcademm-fn-rec.pdf', '/sites/default/files/pcodr/pcodr-velcademm-fn-cgr.pdf', '/sites/default/files/pcodr/pcodr-velcademm-fn-egr.pdf', '/sites/default/files/pcodr/pcodr-velcademm-in-rec.pdf', '/sites/default/files/pcodr/pcodr-velcademm-pag-fdk-in-rec.pdf', '/sites/default/files/pcodr/pcodr-velcademm-in-fdk-janssen.pdf', '/sites/default/files/pcodr/pcodr-velcademm-in-fdk-ccohdsg.pdf', '/sites/default/files/pcodr/pcodr-velcademm-ptfdk-inrec-mc.pdf', '/sites/default/files/pcodr/pcodr-velcademm-coi-mc.pdf']",Multiple Myeloma,Reimburse,Complete,29-Oct-12,25-Mar-13,PC0016-000
Afinitor for Advanced Breast -...Opens in new tab,Afinitor,Everolimus,"['/sites/default/files/pcodr/pcodr-provfund_afinitor-ab.pdf', '/sites/default/files/pcodr/pcodr-afinitorab-fn-rec.pdf', '/sites/default/files/pcodr/pcodr-afinitorab-fn-cgr.pdf', '/sites/default/files/pcodr/pcodr-afinitorab-fn-egr.pdf', '/sites/default/files/pcodr/pcodr-afinitorab-in-rec.pdf', '/sites/default/files/pcodr/pcodr-afinitorab-pag-fdk-inrec.pdf', '/sites/default/files/pcodr/pcodr-afinitorab-in-fdk-novart.pdf', '/sites/default/files/pcodr/pcodr-afinitorab-coi-cbcn.pdf', '/sites/default/files/pcodr/pcodr-afinitorab-coi-rebc.pdf']",Advanced Breast Cancer,Reimburse with clinical criteria and/or conditions,Complete,05-Sep-12,25-Mar-13,PC0014-000
IvacaftorOpens in new tab,Kalydeco,Ivacaftor,"['/sites/default/files/cdr/tracking/cdr_tracking_Kalydeco.pdf', '/sites/default/files/cdr/complete/cdr_complete_Kalydeco_March-25-13_e.pdf']","Cystic fibrosis, G551D mutation",List with criteria/condition,Complete,27-Sep-12,22-Mar-13,SR0291-000
Grass Pollen Allergen ExtractOpens in new tab,Oralair,Grass Pollen Allergen Extract,"['/sites/default/files/cdr/tracking/cdr_tracking_Oralair.pdf', '/sites/default/files/cdr/complete/cdr_complete_Oralair_March-25-13_e.pdf']",Allergic rhinitis,List with criteria/condition,Complete,21-Sep-12,20-Mar-13,SR0290-000
ApixabanOpens in new tab,Eliquis,Apixaban,"['/sites/default/files/cdr/tracking/cdr_tracking_Eliquis-SPAF_2.pdf', '/sites/default/files/cdr/complete/cdr_complete_Eliquis_SPAF_Mar-22-13-e.pdf']","Thromboembolic events prevention, (atrial fibrillation)",List with clinical criteria and/or conditions,Complete,25-Sep-12,20-Mar-13,SR0288-000
Inlyta for metastatic renal ce...Opens in new tab,Inlyta,Axitinib,"['/sites/default/files/pcodr/pcodr-provfund_inlyta-mrcc.pdf', '/sites/default/files/pcodr/pcodr-inlytamrcc-fn-rec.pdf', '/sites/default/files/pcodr/pcodr-inlytamrcc-fn-cgr.pdf', '/sites/default/files/pcodr/pcodr-inlytamrcc-fn-egr.pdf', '/sites/default/files/pcodr/pcodr-inlytamrcc-in-rec.pdf', '/sites/default/files/pcodr/pcodr-inlytamrcc-pag-fdk-inrec.pdf', '/sites/default/files/pcodr/pcodr-inlytamrcc-infdk-pfizer.pdf', '/sites/default/files/pcodr/pcodr-inlytamrcc-infdk-kcc.pdf', '/sites/default/files/pcodr/pcodr-inlytamrcc-coi-kcc.pdf']",Metastatic Renal Cell Carcinoma,Reimburse,Complete,16-Aug-12,07-Mar-13,PC0013-000
Treanda for Chronic Lymphocyti...Opens in new tab,Treanda,Bendamustine hydrochloride,"['/sites/default/files/pcodr/pcodr_profund_treandacllrel.pdf', '/sites/default/files/pcodr/pcodr-treandacll1st-fn-rec.pdf', '/sites/default/files/pcodr/pcodr-treandacll1st-fn-cgr.pdf', '/sites/default/files/pcodr/pcodr-treandacll1st-fn-egr.pdf', '/sites/default/files/pcodr/pcodr-treandacll1st-in-rec.pdf', '/sites/default/files/pcodr/pcodr-cll1stline-pag-fdk-inrec.pdf', '/sites/default/files/pcodr/pcodr-cll1st-infdk-lundbeckcan.pdf', '/sites/default/files/pcodr/pcodr-cll1st-coi-cllpag.pdf', '/sites/default/files/pcodr/pcodr-cll1st-coi-llsc.pdf']",Chronic Lymphocytic Leukemia (first-line),Reimburse with clinical criteria and/or conditions,Complete,24-Apr-12,19-Feb-13,PC0011-000
TolvaptanOpens in new tab,Samsca,Tolvaptan,"['/sites/default/files/cdr/tracking/cdr_tracking_Samsca.pdf', '/sites/default/files/cdr/complete/cdr_complete_Samsca_Feb-12-13-e.pdf']","Hyponatremia, non-hypovolemic",Do not list,Complete,03-Jul-12,13-Feb-13,SR0283-000
LurasidoneOpens in new tab,Latuda,Lurasidone,"['/sites/default/files/cdr/tracking/cdr_tracking_Latuda.pdf', '/sites/default/files/cdr/complete/cdr_complete_Latuda_Jan-25-13_e.pdf']",Schizophrenia,Do not list,Complete,03-Jul-12,23-Jan-13,SR0284-000
