"Brand Name","Generic Name","Therapeutic Area","Recommendation Type","Project Status","Date Submission Received","Date Recommendation Issued","Project Number",Manufacturer
Rinvoq,upadacitinib,"Giant cell arteritis",,Received,"May 16, 2025",,SR0877-000,"AbbVie Corporation"
Rinvoq,upadacitinib,"ankylosing spondylitis","Reimburse with clinical criteria and/or conditions",Complete,"Oct 17, 2022","May 11, 2023",SR0759-000,"AbbVie Corporation"
Rinvoq,upadacitinib,"Arthritis, Rheumatoid","Reimburse with clinical criteria and/or conditions",Complete,"Jul 4, 2019","Feb 4, 2020",SR0614-000,AbbVie
Rinvoq,upadacitinib,"atopic dermatitis","Reimburse with clinical criteria and/or conditions",Complete,"Apr 13, 2021","Jun 8, 2022",SR0685-000,AbbVie
Rinvoq,upadacitinib,"Ulcerative colitis","Reimburse with clinical criteria and/or conditions",Complete,"Apr 18, 2022","Sep 1, 2023",SR0730-000,AbbVie
Rituxan,Rituximab,"Granulomatosis with polyangiitis and microscopic polyangiitis","List with clinical criteria and/or conditions",Complete,"Feb 24, 2012","Aug 16, 2012",SR0270-000,"Hoffman-La Roche Ltd."
Rituxan,Rituximab,"Arthritis, Rheumatoid","List with clinical criteria and/or conditions",Complete,"Jun 26, 2006","Feb 14, 2007",SR0068-000,"Hoffmann-La Roche Limited"
Rosiver,Ivermectin,Rosacea,"List with criteria/condition",Complete,"Apr 30, 2015","Nov 19, 2015",SR0429-000,"Galderma Canada Inc."
Rozlytrek,entrectinib,"Extracranial solid tumours with NTRK gene fusion","Reimburse with clinical criteria and/or conditions",Complete,"Jan 25, 2022","Nov 3, 2022",PC0278-000,"Hoffmann-La Roche Ltd."
Rukobia,fostemsavir,"Human immunodeficiency virus type 1 (HIV-1)","Reimburse with clinical criteria and/or conditions",Complete,"Oct 28, 2022","May 10, 2023",SR0760-000,"ViiV Healthcare ULC"
Ruzurgi,amifampridine,"Lambert-Eaton myasthenic syndrome","Reimburse with clinical criteria and/or conditions",Complete,"Oct 5, 2020","Apr 20, 2021",SR0660-000,"Médunik Canada Inc."
Ryaltris,"olopatadine hydrochloride and mometasone","Seasonal allergic rhinitis","Do not reimburse",Active,"Jun 21, 2024","Apr 8, 2025",SR0848-000,"Bausch Health"
Rybelsus,semaglutide,"diabetes mellitus, type 2","Reimburse with clinical criteria and/or conditions",Complete,"Nov 26, 2020","Jun 8, 2021",SR0637-000,"Novo Nordisk Canada Inc."
Rybrevant,amivantamab,"Locally advanced or metastatic non-small cell lung cancer (NSCLC)",,Active,"Feb 20, 2025",,PC0393-000,"Janssen Inc."
Rybrevant,amivantamab,"Non-small cell lung cancer","Reimburse with clinical criteria and/or conditions",Complete,"Apr 21, 2022","Mar 1, 2023",PC0289-000,"Janssen Inc."
Rybrevant,amivantamab,"Locally advanced or metastatic non-small cell lung cancer (NSCLC)","Reimburse with clinical criteria and/or conditions",Complete,"Jun 21, 2024","Jan 10, 2025",PC0376-000,"Janssen Inc"
Rylaze,"crisantaspase recombinant","Acute lymphoblastic leukemia","Reimburse with clinical criteria and/or conditions",Complete,"Aug 18, 2022","Apr 26, 2023",PC0301-000,"Jazz Pharmaceuticals Canada Inc."
Rystiggo,rozanolixizumab,"Generalized myasthenia gravis (gMG)",,Active,"Aug 2, 2024",,SR0846-000,"UCB Canada Inc."
Samsca,Tolvaptan,"Hyponatremia, non-hypovolemic","Do not list",Complete,"Jul 3, 2012","Feb 13, 2013",SR0283-000,"Otsuka Canada Pharmaceutical Inc."
Saphnelo,anifrolumab,"Systemic lupus erythematosus","Reimburse with clinical criteria and/or conditions",Complete,"Jan 28, 2022","Jan 20, 2023",SR0717-000,"AstraZeneca Canada Inc."
Saphris,Asenapine,Schizophrenia,"Do not list",Complete,"Dec 12, 2011","Jun 14, 2012",SR0262-000,"Lundbeck Canada Inc."
Saphris,Asenapine,"Bipolar I disorder","List with clinical criteria and/or conditions",Complete,"Dec 12, 2011","Jun 14, 2012",SR0262-001,"Lundbeck Canada Inc."
Sarclisa,isatuximab,"multiple myeloma not eligible for ASCT",,Active,"Oct 30, 2024",,PC0378-000,"Sanofi-Aventis Canada Inc. (Sanofi)"
Sarclisa,isatuximab,"Multiple myeloma","Reimburse with clinical criteria and/or conditions",Complete,"Jul 15, 2021","Jan 28, 2022",PC0256-000,"Sanofi Genzyme, a division of sanofi-aventis Canada Inc."
Sativex,Delta-9-tetrahydrocannabinol/cannabidiol,"Pain, cancer (adjunctive analgesia to maximum tolerated strong opioids)","Do not list",Complete,"Aug 7, 2007","Feb 20, 2008",SR0106-000,"GW  Pharma Ltd."
Sativex,Delta-9-tetrahydrocannabinol/cannabidiol,"Pain, Neuropathic (adjunctive) in MS.","Do not list",Complete,"Feb 27, 2007","Sep 26, 2007",SR0092-000,"GW  Pharma Ltd."
Saxenda,liraglutide,"Chronic weight management in adults","Do not reimburse",Complete,"Dec 23, 2020","Sep 1, 2021",SR0668-000,"Novo Nordisk Canada Inc."
Scemblix,asciminib,"Philadelphia chromosome-positive chronic myeloid leukemia","Reimburse with clinical criteria and/or conditions",Complete,"Jan 20, 2022","Aug 5, 2022",PC0275-000,"Novartis Pharmaceuticals Canada Inc."
Scemblix,asciminib,"Philadelphia chromosome-positive chronic myeloid leukemia",,Active,"Mar 10, 2025",,PC0418-000,"Novartis Pharmaceuticals Canada Inc."
Scemblix,asciminib,"Philadelphia chromosome-positive chronic myeloid leukemia",,Active,"Mar 10, 2025",,PC0405-000,"Novartis Pharmaceuticals Canada"
Sebivo,Telbivudine,"Hepatitis B (chronic)","Do not list",Complete,"Dec 4, 2006","Sep 26, 2007",SR0088-000,"Novartis Pharmaceuticals Canada Inc."
Seebri,"Glycopyrronium bromide","Chronic obstructive pulmonary disease","List with criteria/condition",Complete,"Nov 30, 2012","May 15, 2013",SR0300-000,"Novartis Pharmaceuticals Canada Inc."
Segluromet,"ertugliflozin and metformin hydrochloride","Diabetes mellitus, Type 2","Do not reimburse",Complete,"Apr 30, 2018","Jan 23, 2019",SR0566-000,"Merck Canada Inc."
Semglee,"insulin glargine","Diabetes mellitus, Type 1 & 2",,Withdrawn,"Nov 14, 2018",,SE0589-000,"BGP PHARMA ULC"
Sensipar,"Cinacalcet hydrochloride","Secondary hyper-parathyroidism in chronic kidney disease","Do not list",Complete,"Aug 20, 2004","Mar 23, 2005",SR0018-000,"Amgen Canada Inc."
Signifor,"Pasireotide diaspartate","Cushing’s disease","Do not list",Complete,"Feb 27, 2014","Feb 24, 2015",SR0372-000,"Novartis Pharmaceuticals Inc."
"Signifor LAR",pasireotide,"​Acromegaly, adults",,Active,"Oct 2, 2024",,SR0859-000,"Recordati Rare Diseases Canada Inc."
Siliq,brodalumab,"Psoriasis, moderate to severe plaque","Reimburse with clinical criteria and/or conditions",Complete,"Dec 14, 2017","Jun 20, 2018",SR0547-000,"Valeant Canada LP"
Silkis,Calcitriol,"Psoriasis, mild to moderate plaque","Do not list",Complete,"Mar 15, 2010","Sep 22, 2010",SR0199-000,"Galderma Canada Inc."
Simbrinza,"Brinzolamide / brimonidine","Glaucoma and ocular hypertension",List,Complete,"Nov 3, 2014","Jun 17, 2015",SR0403-000,"Alcon Canada Inc."
Simponi,Golimumab,"Arthritis, Rheumatoid","List in a similar manner",Complete,"Sep 3, 2009","Mar 17, 2010",SR0174-000,"Centocor Inc."
Simponi,Golimumab,"Ankylosing spondylitis","List in a similar manner",Complete,"Sep 3, 2009","Mar 17, 2010",SR0196-000,"Centocor Inc."
Simponi,Golimumab,"Ulcerative colitis","Do not list at the submitted price",Complete,"Jul 12, 2013","Mar 19, 2014",SR0341-000,"Janssen Inc."
Simponi,Golimumab,"Arthritis, psoriatic","List in a similar manner",Complete,"Sep 3, 2009","Mar 17, 2010",SR0195-000,"Centocor Inc."
"Simponi I.V.",Golimumab,"Arthritis, rheumatoid","List with criteria/condition",Complete,"Sep 12, 2013","Jul 17, 2014",SR0351-000,"Janssen Inc."
Sivextro,"Tedizolid phosphate","Acute bacterial skin and skin structure infections",,Withdrawn,"Jan 16, 2015",,SR0413-000,"Cubist Pharmaceuticals Canada, Inc."
Skyclarys,omaveloxolone,"Friedreich’s ataxia",,Active,"Oct 2, 2024",,SR0864-000,"Biogen Canada Inc."
Skyrizi,risankizumab,"Psoriasis, moderate to severe plaque","Reimburse with clinical criteria and/or conditions",Complete,"Oct 22, 2018","May 28, 2019",SR0583-000,"AbbVie Corporation"
Skyrizi,risankizumab,"Crohn's disease","Reimburse with clinical criteria and/or conditions",Complete,"Oct 28, 2022","May 12, 2023",SR0767-000,AbbVie
Skyrizi,risankizumab,"Ulcerative colitis",,Active,"Mar 31, 2025",,SR0890-000,"AbbVie Corporation"
Slynd,drospirenone,"Contraceptive, oral","Reimburse with clinical criteria and/or conditions",Complete,"Aug 14, 2023","Mar 18, 2024",SR0806-000,"Duchesnay Inc."
Sogroya,somapacitan,"Growth Hormone Deficiency (GHD)","Reimburse with clinical criteria and/or conditions",Complete,"Apr 27, 2023","Nov 17, 2023",SR0779-000,"Novo Nordisk Canada Inc."
Sohonos,palovarotene,"Fibrodysplasia Ossificans Progressiva","Reimburse with clinical criteria and/or conditions",Complete,"Oct 21, 2022","May 11, 2023",SR0761-000,"Ipsen Biopharmaceuticals Canada, Inc."
Soliqua,"lixisenatide + insulin glargine","Diabetes mellitus, Type 2","Reimburse with clinical criteria and/or conditions",Complete,"May 18, 2018","Dec 24, 2018",SR0564-000,"sanofi-aventis Canada Inc."
Soliris,Eculizumab,"Hemolytic Uremic Syndrome, Atypical","Do not list",Complete,"Jan 7, 2013","Jul 18, 2013",SR0304-000,"Alexion Pharma Canada"
Soliris,eculizumab,"Neuromyelitis optica spectrum disorder","Reimburse with clinical criteria and/or conditions",Complete,"Feb 25, 2020","Aug 19, 2020",SR0640-000,"Alexion Pharma Canada Corp."
Soliris,Eculizumab,"Atypical hemolytic uremic syndrome",N/A,Complete,"Feb 9, 2015",,SF0416-000,"Alexion Pharma Canada"
Soliris,eculizumab,"Myasthenia Gravis (gMG), adults","Reimburse with clinical criteria and/or conditions",Complete,"Apr 1, 2020","Oct 19, 2020",SR0605-000,"Alexion Pharma Canada Corp."
Soliris,Eculizumab,"Paroxysmal nocturnal hemoglobinuria (PNH)","Do not list",Complete,"Sep 18, 2009","Feb 18, 2010",SR0176-000,"Alexion Pharmaceuticals Inc."
"Somatuline Autogel","Lanreotide acetate",Acromegaly,"List in a similar manner to other drugs in class",Complete,"Feb 20, 2007","Jul 19, 2007",SR0091-000,"Ipsen Limited"
Somavert,Pegvisomant,acromegaly,"Do not list",Complete,"Jan 25, 2006","Aug 2, 2006",SR0050-000,"Pfizer Canada Inc."
Sotyktu,deucravacitinib,"Psoriasis, moderate to severe plaque","Do not reimburse",Complete,"Sep 27, 2022","Aug 8, 2023",SR0756-000,"Bristol-Myers Squibb Company"
Sovaldi,sofosbuvir,"Hepatitis C, chronic","Reimburse with clinical criteria and/or conditions",Complete,"Jan 6, 2016","May 18, 2016",SF0464-000,"Gilead Sciences Canada Inc."
Sovaldi,Sofosbuvir,"Hepatitis C, chronic","List with criteria/condition",Complete,"Oct 1, 2013","Aug 18, 2014",SR0356-000,"Gilead Sciences Canada Inc."
Spevigo,spesolimab,"generalized pustular psoriasis (GPP)","Reimburse with clinical criteria and/or conditions",Complete,"Jun 4, 2024","Dec 12, 2024",SR0844-000,"Boehringer Ingelheim (Canada) Ltd."
Spinraza,nusinersen,"Spinal Muscular Atrophy","Reimburse with clinical criteria and/or conditions",Complete,"Jun 28, 2017","Dec 22, 2017",SR0525-000,"Biogen Canada Inc."
Spinraza,Nusinersen,"Spinal Muscular Atrophy","Reimburse with clinical criteria and/or conditions",Complete,"Jul 24, 2018","Feb 27, 2019",SR0576-000,"Biogen Canada Inc."
Spinraza,nusinersen,"Spinal Muscular Atrophy","Do not reimburse",Complete,"Dec 2, 2021","Aug 11, 2022",SR0713-000,"Biogen Canada Inc."
"Spiriva Respimat","Tiotropium bromide","Chronic obstructive pulmonary disease","List with clinical criteria and/or conditions",Complete,"Dec 23, 2014","Jul 16, 2015",SR0412-000,"Boehringer Ingelheim (Canada) Ltd."
Spravato,"esketamine hydrochloride","Major depressive disorder (MDD), adults","Do not reimburse",Complete,"Jun 24, 2019","Dec 16, 2020",SR0621-000,"Janssen Inc."
Spriafil,Posaconazole,"Aspergillus and Candida infections","Do not list",Complete,"May 24, 2007","Jan 30, 2008",SR0097-000,"Schering-Plough Canada Inc."
Stalevo,"Carbidopa, levodopa and entacapone","Parkinsons Disease","List in a similar manner",Complete,"Apr 15, 2008","Oct 16, 2008",SR0131-000,"Novartis Pharmaceuticals Canada Inc."
Steglatro,ertugliflozin,"Diabetes mellitus, Type 2","Do not reimburse",Complete,"Apr 30, 2018","Jan 23, 2019",SR0565-000,"Merck Canada Inc."
Stelara,Ustekinumab,Psoriasis,"List with clinical criteria and/or conditions",Complete,"Jan 7, 2009","Jun 17, 2009",SR0156-000,"Janssen-Ortho Inc."
Stelara,Ustekinumab,"Arthritis, psoriatic","Do not list at the submitted price",Complete,"Oct 30, 2013","Oct 20, 2014",SR0359-000,"Janssen Inc."
"Stelara/Stelara I.V",ustekinumab,"Ulcerative colitis","Reimburse with clinical criteria and/or conditions",Complete,"Aug 12, 2019","Jul 16, 2020",SR0627-000,"Janssen Inc."
"Stelara/Stelara I.V.",ustekinumab,"Crohn’s disease","Reimburse with clinical criteria and/or conditions",Complete,"Sep 12, 2016","Mar 21, 2017",SR0501-000,"Janssen Inc."
Strattera,"Atomoxetine hydrochloride","Attention deficit hyperactivity disorder",N/A,Complete,"Sep 25, 2006",,SF0085-000,"Eli Lilly Canada Inc."
Strattera,"Atomoxetine hydrochloride","Attention deficit hyperactivity disorder","Do not list",Complete,"Jan 25, 2005","Sep 28, 2005",SR0031-000,"Eli Lilly Canada Inc."
Strensiq,"Asfotase alfa","Hypophosphatasia, pediatric-onset","List with criteria/condition",Complete,"Aug 21, 2015","Mar 23, 2016",SR0443-000,"Alexion Pharmaceuticals Canada"
Stribild,"Elvitegravir/  Cobicistat/  Emtricitabine/  Tenofovir Disoproxil Fumarate","HIV infection","List with criteria/condition",Complete,"Nov 30, 2012","May 15, 2013",SR0301-000,"Gilead Sciences Canada Inc."
Sublinox,"Zolpidem tartrate",Insomnia,"Do not list",Complete,"Mar 7, 2013","Sep 25, 2013",SR0314-000,"Meda Valeant Pharma Canada Inc."
Sublocade,buprenorphine,"Opioid use disorder, treatment","Reimburse with clinical criteria and/or conditions",Complete,"Dec 20, 2018","Jun 19, 2019",SR0579-000,"Indivior Canada Ltd."
Suboxone,Buprenorphine/naloxone,"Opioid drug dependence (Substitution treatment)","List with clinical criteria and/or conditions",Complete,"Mar 6, 2008","Sep 24, 2008",SR0128-000,"Schering-Plough Canada Inc"
Sunosi,solriamfetol,"Excessive daytime sleepiness (narcolepsy)","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not filed",,,NS0038-000,"Axsome Malta Ltd"
Sunosi,solriamfetol,"Excessive daytime sleepiness","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not filed",,,NS0039-000,"Axsome Malta Ltd"
Sunvepra,Asunaprevir,"Hepatitis C, chronic","Reimburse with clinical criteria and/or conditions",Complete,"Feb 13, 2015","Jul 20, 2016",SR0418-000,"Bristol-Myers Squibb Canada Inc."
Sutent,Sunitinib,"Gastrointestinal stromal tumour (GIST)","List with clinical criteria and/or conditions",Complete,"Jul 20, 2006","Mar 28, 2007",SR0069-000,"Pfizer Canada Inc."
Sutent,"Sunitinib malate","Cancer, Metastatic renal cell carcinoma","Do not list",Complete,"Sep 20, 2006","Apr 26, 2007",SR0077-000,"Pfizer Canada Inc."
Symdeko,tezacaftor/ivacaftor,"Cystic fibrosis, F508del mutation(s)","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not filed",,,NS0008-000,"Vertex Pharmaceuticals Canada Inc."
Symtuza,"Darunavir/cobicistat/emtricitabine/tenofovir alafenamide","HIV-1 infection","Reimburse with clinical criteria and/or conditions",Complete,"Dec 22, 2017","Jul 25, 2018",SR0552-000,"Janssen Inc."
Synjardy,"Empagliflozin and metformin","Diabetes mellitus (Type 2)","Reimburse with clinical criteria and/or conditions",Complete,"Apr 29, 2016","Oct 25, 2016",SR0489-000,"Boehringer Ingelheim (Canada) Ltd."
Tabrecta,capmatinib,"Metastatic non-small cell lung cancer (NSCLC)","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not filed",,,NS0036-000,"Novartis Pharmaceuticals Canada Inc."
"Tafinlar and Mekinist","dabrafenib and trametinib","Pediatric high-grade glioma with BRAF V600E","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not filed",,,NS0028-000,"Novartis Pharmaceuticals Canada Inc."
"Tafinlar and Mekinist","dabrafenib and trametinib","Pediatric low-grade glioma with BRAF V600E","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not filed",,,NS0029-000,"Novartis Pharmaceuticals Canada Inc."
Tafinlar-Mekinist,"dabrafenib trametinib","Advanced or metastatic anaplastic thyroid cancer with BRAF V600E mutation",,Cancelled,,,PC0337-000,
Tagrisso,osimertinib,"Non-small cell lung cancer","Reimburse with clinical criteria and/or conditions",Complete,"Dec 11, 2023","Oct 3, 2024",PC0336-000,"AstraZeneca Canada Inc."
Tagrisso,osimertinib,"Non-small cell lung cancer","Reimburse with clinical criteria and/or conditions",Complete,"Mar 24, 2021","Jan 10, 2022",PC0246-000,"AstraZeneca Canada Inc."
Tagrisso,osimertinib,"Unresectable (stage III) non-small cell lung cancer",,Active,"Feb 13, 2025",,PC0398-000,"AstraZeneca Canada Inc."
Takhzyro,lanadelumab,"Hereditary angioedema, prevention","Reimburse with clinical criteria and/or conditions",Complete,"May 29, 2019","Nov 19, 2019",SR0618-000,"Shire Pharma Canada ULC"
Taltz,ixekizumab,"Ankylosing spondylitis","Reimburse with clinical criteria and/or conditions",Complete,"Sep 20, 2019","Mar 24, 2020",SR0630-000,"Eli Lilly Canada Inc."
Taltz,ixekizumab,"Arthritis, psoriatic","Reimburse with clinical criteria and/or conditions",Complete,"Feb 20, 2018","Aug 21, 2018",SR0558-000,"Eli Lilly Canada Inc."
Taltz,Ixekizumab,"Psoriasis, moderate to severe plaque","Reimburse with clinical criteria and/or conditions",Complete,"Mar 23, 2016","Oct 25, 2016",SR0481-000,"Eli Lilly Canada Inc."
Talvey,talquetamab,"Relapsed or refractory multiple myeloma","Do not reimburse",Active,"May 1, 2024","Feb 27, 2025",PC0363-000,"Janssen Inc."
Talzenna,talazoparib,"Metastatic castration-resistant prostate cancer",,Active,"Mar 27, 2025",,PC0417-000,"Pfizer Canada ULC"
Talzenna,talazoparib,"Breast Cancer","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not filed",,,NS0017-000,"Pfizer Canada Inc."
Talzenna,talazoparib,"Metastatic castration-resistant prostate cancer (mCRPC)",,Withdrawn,"Aug 15, 2023",,PC0316-000,"Pfizer Canada ULC"
Tarceva,Erlotinib,"Cancer, Lung , non-small cell","List with clinical criteria and/or conditions",Complete,"Jul 19, 2005","Dec 7, 2005",SR0037-000,"Hoffmann-La Roche Limited"
Targin,"Oxycodone / naloxone","Pain, Moderate to severe and relief of opioid-induced constipation",,Cancelled,"Nov 30, 2010",,SR0219-000,"Purdue Pharma"
Targin,"Oxycodone HCI / naloxone HCI","Pain, moderate to severe and relief of opioid-induced constipation","Do not list",Complete,"Jul 5, 2011","Jan 25, 2012",SR0241-000,"Purdue Pharma"
Tavalisse,fostamatinib,"Chronic immune thrombocytopenia","Do not reimburse",Complete,"Jul 22, 2021","Apr 5, 2022",SR0701-000,"Medison Pharma Canada"
Tavneos,avacopan,"Antineutrophil cytoplasmic antibody-associated vasculitis","Do not reimburse",Complete,"Oct 14, 2022","Aug 10, 2023",SR0732-000,"Otsuka Canada Pharmaceutical Inc."
TBC,filgotinib,"Arthritis, Rheumatoid",,Withdrawn,"Aug 4, 2020",,SR0656-000,"Gilead Sciences Canada, Inc."
TBC,nemolizumab,"Prurigo nodularis (PN)",,Active,"Jan 7, 2025",,SR0861-000,"Galderma Canada Inc."
TBC,abaloparatide,"Osteoporosis, postmenopausal women",,Withdrawn,"Aug 2, 2022",,SR0744-000,"Paladin Labs Inc."
TBC,ferumoxytol,"Iron deficiency anemia",,Withdrawn,"Aug 31, 2022",,SR0753-000,"Covis Pharma Canada Ltd."
TBC,"datopotamab deruxtecan","advanced or metastatic non-squamousnon-small cell lung cancer (NSCLC)",,Cancelled,,,PC0384-000,"AstraZeneca Canada Inc."
TBC,"Darunavir / cobicistat","HIV infection",,Withdrawn,"Apr 4, 2014",,SR0378-000,"Janssen Inc."
TBC,garadacimab,"Hereditary angioedema  (HAE)",,Active,"Jul 31, 2024",,SR0860-000,"CSL Behring Canada Inc."
TBC,leniolisib,"Activated phosphoinositide 3 kinase delta syndrome",,Suspended,"Apr 19, 2024",,SR0792-000,"Pharming Technologies BV"
TBC,daprodustat,"Anemia due to chronic kidney disease",,Withdrawn,"Oct 25, 2022",,SR0762-000,"GlaxoSmithKline Inc."
TBC,pegcetacoplan,"Geographic atrophy secondary to age-related macular degeneration",,Withdrawn,"Jul 23, 2024",,SR0810-000,"Apellis Canada, Inc."
TBC,ravulizumab,"Paroxysmal nocturnal hemoglobinuria.",,Withdrawn,"Jul 4, 2019",,SR0623-000,"Alexion Pharma Canada Corp"
TBC,"belantamab mafodotin, pomalidomide, dexamethasone","Previously treated multiple myeloma",,Active,"Dec 19, 2024",,PC0380-000,"GlaxoSmithKline Inc."
TBC,nemolizumab,"atopic dermatitis",,Active,"Feb 27, 2025",,SR0869-000,"Galderma Canada Inc."
TBC,crovalimab,"paroxysmal nocturnal  hemoglobinuria (PNH)",,Active,"Oct 1, 2024",,SR0858-000,"Hoffmann-La Roche Limited"
TBC,donanemab,"Alzheimer's disease",,Suspended,"Aug 28, 2024",,SR0857-000,"Eli Lilly Canada Inc."
TBC,risperidone,"Schizophrenia, adults",,Active,"Oct 13, 2023",,SR0811-000,"Teva Canada Innovation"
TBC,delgocitinib,"Chronic hand eczema",,Active,"Nov 25, 2024",,SR0875-000,"LEO Pharma Inc."
TBC,seladelpar,"primary biliary cholangitis",,Pending,,,SR0899-000,"Gilead Sciences Canada, Inc."
TBC,etonogestrel,"Prevention of pregnancy",,Withdrawn,"Sep 26, 2019",,SR0629-000,"Merck Canada Inc."
TBC,tirzepatide,"Diabetes mellitus, type 2",,Cancelled,"Aug 12, 2022",,SR0751-000,"Eli Lilly Canada Inc."
TBC,filgrastim,"Prevention or treatment of neutropenia in various indications",,Cancelled,"Nov 1, 2018",,SE0585-000,"Pfizer Canada Inc."
TBC,"mirvetuximab soravtansine","Epithelial ovarian, fallopian tube, or primary peritoneal cancer",,Active,"Mar 3, 2025",,PC0394-000,"AbbVie Corporation"
TBC,"halobetasol propionate and tazarotene","Psoriasis, moderate to severe plaque",,Withdrawn,"Feb 4, 2019",,SR0600-000,"Bausch Health, Canada Inc."
TBC,"pegunigalsidase alfa","Fabry disease",,Active,"Apr 4, 2025",,SR0872-000,"Chiesi Canada Corp."
TBC,filgrastim,,,Cancelled,,,SE0596-000,"Sandoz Canada Inc."
TBC,"dabrafenib trametinib","Pediatric low grade glioma (ped LGG)",,Active,"Oct 7, 2024",,PX0375-000,N/A
TBC,"belantamab mafodotin, bortezomib, dexamethasone","Previously treated multiple myeloma",,Active,"Dec 19, 2024",,PC0379-000,"GlaxoSmithKline Inc."
TBC,teprotumumab,"Thyroid Eye Disease (TED), chronic",,Withdrawn,"Oct 25, 2024",,SR0853-001,"Amgen Canada Inc."
Tecartus,"brexucabtagene autoleucel","Mantle cell lymphoma","Reimburse with clinical criteria and/or conditions",Complete,"Dec 18, 2020","Aug 24, 2021",PG0219-000,"Gilead Sciences Canada Inc."
Tecartus,"brexucabtagene autoleucel","Acute lymphoblastic leukemia","Reimburse with clinical criteria and/or conditions",Complete,"Sep 16, 2022","Mar 29, 2023",PG0304-000,"Gilead Sciences Canada, Inc."
Tecentriq,atezolizumab,"Non-small cell lung cancer","Reimburse with clinical criteria and/or conditions",Complete,"Feb 24, 2022","Sep 1, 2022",PC0269-000,"Hoffmann-La Roche"
Tecentriq,atezolizumab,"Small Cell Lung Cancer","Reimburse with clinical criteria and/or conditions",Complete,"Jan 24, 2022","Sep 1, 2022",PC0277-000,"Hoffmann-La Roche Limited"
Tecfidera,"Dimethyl fumarate","Multiple sclerosis, relapsing-remitting","List with criteria/condition",Complete,"Feb 4, 2013","Sep 25, 2013",SR0309-000,"Biogen Idec Canada Inc."
Technivie,"Ombitasvir/ paritaprevir/ ritonavir","Hepatitis C, chronic","List with clinical criteria and/or conditions",Complete,"Sep 4, 2015","Mar 18, 2016",SR0444-000,"AbbVie Corporation"
Tecvayli,teclistamab,"Relapsed or refractory multiple myeloma","Reimburse with clinical criteria and/or conditions",Complete,"Aug 31, 2023","Apr 8, 2024",PC0332-000,"Janssen Inc."
Tegsedi,inotersen,"hereditary transthyretin amyloidosis","Reimburse with clinical criteria and/or conditions",Complete,"Feb 22, 2019","Dec 18, 2019",SR0603-000,"Akcea Therapeutics Inc."
Telzir,"Fosamprenavir calcium","HIV infection","List in a similar manner to other drugs in class",Complete,"Jan 24, 2005","Jun 16, 2005",SR0030-000,"GlaxoSmithKline Inc."
Tepezza,teprotumumab,"Thyroid Eye Disease (TED), active",,Active,"Oct 25, 2024",,SR0853-000,"Amgen Canada Inc."
Tepmetko,tepotinib,"Locally advanced or metastatic non-small cell lung cancer","Do not reimburse",Complete,"Aug 30, 2021","Aug 24, 2022",PC0255-000,"EMD Serono Canada, a division of EMD Inc."
"Teveten Plus","Eprosartan mesylate/ hydrochlorothiazide","Hypertension, Essential","List in a similar manner to other drugs in class",Complete,"Jul 8, 2004","Dec 15, 2004",SR0016-000,"Solvay Pharma Inc."
Tezspire,tezepelumab,Asthma,"Reimburse with clinical criteria and/or conditions",Complete,"Apr 14, 2022","Nov 16, 2022",SR0731-000,"AstraZeneca Canada Inc."
Thelin,"Sitaxsentan sodium","Pulmonary arterial hypertension (WHO class II and III)","Do not list",Complete,"May 5, 2008","Jan 28, 2009",SR0132-000,"Encysive Canada Inc."
Thelin,"Sitaxsentan sodium","Pulmonary arterial hypertension (WHO class II and III)","Do not list",Complete,"Jun 22, 2007","Jan 30, 2008",SR0099-000,"Encysive Canada Inc."
Tibsovo,ivosidenib,"Acute myeloid leukemia (AML)","Reimburse with clinical criteria and/or conditions",Complete,"Mar 19, 2024","Oct 4, 2024",PC0349-000,"Servier Canada Inc"
Tivicay,Dolutegravir,"HIV infection",List,Complete,"Oct 18, 2013","Aug 18, 2014",SR0357-000,"ViiV Healthcare ULC"
Toctino,Alitretinoin,Eczema,"List with clinical criteria and/or conditions",Complete,"May 6, 2011","Oct 24, 2011",SR0232-000,Actelion
Toviaz,"Fesoterodine fumarate","Overactive bladder","List in a similar manner",Complete,"Apr 27, 2012","Oct 18, 2012",SR0277-000,"Pfizer  Canada Inc."
Trajenta,Linagliptin,"Diabetes mellitus, type 2","List with clinical criteria and/or conditions",Complete,"Aug 23, 2011","Feb 15, 2012",SR0244-000,"Boehringer Ingelheim Canada"
Tramacet,"Tramadol hydrochloride /acetaminophen","Acute pain","Do not list",Complete,"Oct 2, 2006","May 17, 2007",SR0079-000,"Janssen-Ortho Inc."
Translarna,ataluren,,,Cancelled,,,SR0607-000,"PTC Therapeutics Canada ULC"
