Title,Brand Name,Generic Name,PDF Links,Therapeutic Area,Recommendation,Status,Submission Date,Recommendation Date,Project Number
fampridine,Fampyra,Fampridine,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Fampyra_Nov-30-12.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Fampyra.pdf,"Multiple sclerosis, improve walking disability",Do not list,Complete,"Apr 16, 2012","Nov 28, 2012",SR0275-000
ranibizumab injection,Lucentis,Ranibizumab injection,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Lucentis%20RVO_Oct-22-12_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Lucentis-RVO-2.pdf,"Macular edema, secondary to retinal vein occlusion",List with clinical criteria and/or conditions,Complete,"Apr 25, 2012","Oct 18, 2012",SR0276-000
fesoterodine fumarate,Toviaz,Fesoterodine fumarate,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Toviaz_Oct-22-12_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Toviaz.pdf,Overactive bladder,List in a similar manner,Complete,"Apr 27, 2012","Oct 18, 2012",SR0277-000
xalkori advanced non small cell lung cancer,Xalkori,Crizotinib,https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-xalkori-coi-lcc.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-xalkori-in-fdk-pfizer.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-xalkori-in-rec.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-xalkori-pag-fdk-in-rec.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-xalkorinsclc-fn-cgr.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-xalkorinsclc-fn-egr.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-xalkorinsclc-fn-rec.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr_xalkorinsclc_lcc_in_fdk.pdf,Advanced Non-Small Cell Lung Cancer,Do not reimburse,Complete,"Mar 26, 2012","Oct 4, 2012",PC0008-000
plerixafor,Mozobil,Plerixafor,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Mozobil_Sept-28-12_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Mozobil.pdf,Hematopoietic stem cell mobilizer in non-Hodgkin's lymphoma and multiple myeloma,Do not list,Complete,"Jan 24, 2012","Sep 26, 2012",SR0265-000
afinitor pancreatic neuroendocrine tumours,Afinitor,Everolimus,https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-afinitor-coi-cnets.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-afinitor-fn-rec.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-afinitor-in-fdk-novartis.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-afinitor-pag-fdk-in-rec.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-afinitor-pnets-fn-cgr.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-afinitor-pnets-fn-egr.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-afinitor-pnets-in-rec.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-provfund_afinitor-pnet.pdf,Pancreatic Neuroendocrine Tumour,Reimburse with clinical criteria and/or conditions,Complete,"Feb 27, 2012","Aug 30, 2012",PC0007-000
indacaterol,Onbrez,Indacaterol,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Onbrez_Aug-20-12_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Onbrez.pdf,Chronic obstructive pulmonary disease,List in a similar manner,Complete,"Feb 29, 2012","Aug 16, 2012",SR0273-000
rivaroxaban,Xarelto,Rivaroxaban,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Xarelto%20DVT_Aug-20-12_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Xarelto_DVT.pdf,Deep-vein thrombosis without symptomatic pulmonary embolism,List with clinical criteria and/or conditions,Complete,"Feb 27, 2012","Aug 16, 2012",SR0271-000
rituximab,Rituxan,Rituximab,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Rituxan-Aug_16-12_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Rituxan-2.pdf,Granulomatosis with polyangiitis and microscopic polyangiitis,List with clinical criteria and/or conditions,Complete,"Feb 24, 2012","Aug 16, 2012",SR0270-000
halaven metastatic breast cancer,Halaven,Eribulin Mesylate,https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-halaven-in-fdk-eisai.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-halaven-metbreast-in-rec.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-halaven-pag-fdk-in-rec.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-halavenmb-coi-cbcn.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-halavenmb-coi-ccsn.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-halavenmb-fn-cgr.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-halavenmb-fn-egr.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-halavenmb-fn-rec.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-provfund_halaven-mbc.pdf,Metastatic Breast Cancer,Reimburse with clinical criteria and/or conditions,Complete,"Feb 9, 2012","Aug 2, 2012",PC0005-000
exenatide,Byetta,Exenatide,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Byetta_July-23-12.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Byetta.pdf,"Diabetes mellitus, type 2",Do not list,Complete,"Aug 23, 2011","Jul 19, 2012",SR0246-000
prucalopride,Resotran,Prucalopride,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Resotran_July-23-12.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Resotran.pdf,"Constipation, chronic",Do not list,Complete,"Jan 30, 2012","Jul 19, 2012",SR0266-000
onabotulinumtoxina,Botox,OnabotulinumtoxinA,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Botox_July-23-12.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Botox.pdf,Neurogenic detrusor overactivity,List with clinical criteria and/or conditions,Complete,"Jan 31, 2012","Jul 19, 2012",SR0268-000
tocilizumab,Actemra,Tocilizumab,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Actemra-sJIA_July-23-12_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Actemra-2.pdf,"Arthritis, juvenile idiopathic",List with clinical criteria and/or conditions,Complete,"Jan 30, 2012","Jul 19, 2012",SR0267-000
asenapine,Saphris,Asenapine,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Saphris-000-June%2018_2012.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Saphris.pdf,Schizophrenia,Do not list,Complete,"Dec 12, 2011","Jun 14, 2012",SR0262-000
prasugrel,Effient,Prasugrel,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Effient-Resubmission_June-18-12.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Effient_Resub-1.pdf,Acute coronary syndrome,Do not list,Complete,"Dec 12, 2011","Jun 14, 2012",SR0263-000
apixaban,Eliquis,Apixaban,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Eliquis_June-18-12_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Eliquis.pdf,"Venous thromboembolic events, prevention",List with clinical criteria and/or conditions,Complete,"Dec 20, 2011","Jun 14, 2012",SR0264-000
asenapine,Saphris,Asenapine,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Saphris-001-June%2018_2012.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Saphris.pdf,Bipolar I disorder,List with clinical criteria and/or conditions,Complete,"Dec 12, 2011","Jun 14, 2012",SR0262-001
zelboraf advanced melanoma,Zelboraf,Vemurafenib,https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-zelboraf-adv-mel-coi-mnc.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-zelboraf-adv-mel-fn-egr.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-zelboraf-adv-mel-fn-rec.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-zelboraf-in-fdk-roche.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-zelboraf-in-rec.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-zelboraf-pag-fdk-in-rec.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-zelboraf-unredact-fn-cgr.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-zelborafadmel-in-fdk-mnc.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr_provfund_vemurafenib_zelboraf-advmel.pdf,Metastatic Melanoma,Reimburse with clinical criteria and/or conditions,Complete,"Dec 6, 2011","Jun 1, 2012",PC0006-000
oxybutynin chloride gel,Gelnique,Oxybutynin Chloride Gel,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Gelnique_May%2028-2012.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Gelnique.pdf,Overactive bladder,Do not list,Complete,"Oct 25, 2011","May 24, 2012",SR0260-000
mometasone furoate,ASMANEX,Mometasone furoate,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Asmanex_%20May-16-12.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Asmanex.pdf,Asthma,List,Complete,"Nov 10, 2011","May 16, 2012",SR0258-000
sutent pancreatic neuroendocrine tumours,Sutent,Sunitinib malate,https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-provfund_sutent-pnets.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-sutent-in-rec.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-sutent-pnet-coi-cnets.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-sutent-pnet-fn-cgr.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-sutent-pnet-fn-egr.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-sutent-pnet-fn-rec.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-sutent-pnet-pag-fd-irec.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-sutentpnet-in-fdk-pzr.pdf,Pancreatic Neuroendocrine Tumour,Reimburse with clinical criteria and/or conditions,Complete,"Nov 7, 2011","May 3, 2012",PC0004-000
dexamethasone intravitreal implant,Ozurdex,Dexamethasone intravitreal implant,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Ozurdex_April-27-1_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Ozurdex.pdf,"Macular edema, central retinal vein occlusion",Do not list,Complete,"Sep 1, 2011","Apr 25, 2012",SR0247-000
belimumab,Benlysta,Belimumab,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Benlysta_April-27-12_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Benlysta.pdf,Systemic lupus erythematosus,Do not list,Complete,"Sep 19, 2011","Apr 25, 2012",SR0251-000
silodosin,RAPAFLO,Silodosin,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Rapaflo_April-20-12.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Rapaflo.pdf,Benign prostatic hyperplasia,Do not list,Complete,"Oct 25, 2011","Apr 19, 2012",SR0261-000
rivaroxaban,Xarelto,Rivaroxaban,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Xarelto-SPAF_April-20-12.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Xarelto-SPAF_2.pdf,"Atrial fibrillation, stroke prevention",List with clinical criteria and/or conditions,Complete,"Oct 21, 2011","Apr 19, 2012",SR0257-000
dienogest,Visanne,Dienogest,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Visanne_April-20-12.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Visanne.pdf,"Pain, pelvic pain associated with endometriosis",List with clinical criteria and/or conditions,Complete,"Oct 18, 2011","Apr 19, 2012",SR0255-000
emtricitabine rilpivirine tenofovir disoproxil fumarate,COMPLERA,Emtricitabine/ rilpivirine/ tenofovir disoproxil fumarate,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Complera_April-20-12.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Complera.pdf,HIV infection,List,Complete,"Oct 19, 2011","Apr 19, 2012",SR0256-000
yervoy advanced melanoma,Yervoy,Ipilimumab,https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-provfund_yervoy-advmel.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-yervoy-adv-mel-coi-mnc.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-yervoy-adv-mel-coi-sys.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-yervoy-adv-mel-fn-cgr.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-yervoy-adv-mel-fn-egr.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-yervoy-adv-mel-fn-rec.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-yervoy-in-rec.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-yervoyadvmel-in-fdk-bms.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-yervoyadvmel-in-fdk-mnc.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-yervoyadvmel-pag-fd-irec.pdf,Advanced Melanoma,Reimburse with clinical criteria and/or conditions,Complete,"Dec 1, 2011","Apr 18, 2012",PC0003-000
ranibizumab,Lucentis,Ranibizumab,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr-complete_Lucentis_DME_March-21-12.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Lucentis.pdf,"Macular edema, diabetic",List with clinical criteria and/or conditions,Complete,"Sep 14, 2011","Mar 19, 2012",SR0253-000
rufinamide,Banzel,Rufinamide,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Banzel_March-19-12_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Banzel.pdf,Lennox-Gastaut syndrome,List with clinical criteria and/or conditions,Complete,"Sep 20, 2011","Mar 15, 2012",SR0252-000
rilpivirine,Edurant,Rilpivirine,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Edurant_Feb-17-12_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_edurant.pdf,HIV infection,List,Complete,"Jul 29, 2011","Feb 15, 2012",SR0243-000
linagliptin,Trajenta,Linagliptin,https://www.cadth.ca/sites/default/files/DRR/2024/TS0002%20Updated%20CADTH%20Reimbursement%20Recommendations%20.pdf; https://www.cadth.ca/sites/default/files/cdr/complete/cdr_complete_Trajenta_February_18_2012.pdf; https://www.cadth.ca/sites/default/files/cdr/tracking/cdr_tracking_Trajenta.pdf,"Diabetes mellitus, type 2",List with clinical criteria and/or conditions,Complete,"Aug 23, 2011","Feb 15, 2012",SR0244-000
telaprevir,Incivek,Telaprevir,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Incivek_Feb-17-12_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Incivek.pdf,"Hepatitis C, chronic",List with clinical criteria and/or conditions,Complete,"Aug 23, 2011","Feb 15, 2012",SR0249-000
fentanyl citrate,Onsolis,Fentanyl Citrate,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Onsolis_Feb-17-12_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/cdr_trans_onsolis-resub_plr_aug-13-12_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Onsolis_2.pdf,"Pain, breakthrough cancer pain",Do not list,Complete,"Aug 22, 2011","Feb 15, 2012",SR0248-000
oxycodone hci naloxone hci,Targin,Oxycodone HCI / naloxone HCI,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Targin_2_Jan-27-12_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_targin_Resub1.pdf,"Pain, moderate to severe and relief of opioid-induced constipation",Do not list,Complete,"Jul 5, 2011","Jan 25, 2012",SR0241-000
votrient metastatic renal cell carcinoma,Votrient,Pazopanib hydrochloride,https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-provfund_votrient-mrcc.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-votrientmrcc-fn-cgr.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-votrientmrcc-fn-egr.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-votrientmrcc-fn-rec.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-votrientmrcc-in-fdk-gsk.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-votrientmrcc-in-fdk-kcc.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-votrientmrcc-initial-rec.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-votrientmrcc-kcc-coi.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-votrientmrcc-pag-fd-irec.pdf,Metastatic Renal Cell Carcinoma,Reimburse,Complete,"Jul 14, 2011","Jan 5, 2012",PC0000-000
ticagrelor,Brilinta,Ticagrelor,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Brilinta_Dec-20-11.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/cdr_trans_Brilinta_plr_Aug-13-12_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_brilinta.pdf,Acute coronary syndromes,Do not list,Complete,"Jun 1, 2011","Dec 16, 2011",SR0234-000
fentanyl citrate,Abstral,Fentanyl citrate,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Abstral_Dec-20-11.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/cdr_trans_Abstral_PLR_July-3-12.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_abstral.pdf,"Pain, breakthrough cancer pain",Do not list,Complete,"Jun 30, 2011","Dec 16, 2011",SR0240-000
telmisartan amlodipine,Twynsta,Telmisartan/ Amlodipine,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Twynsta_Dec-20-11.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/cdr_trans_Twynsta_plr_June-15-12.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Twynsta_2.pdf,Hypertension,List,Complete,"Aug 23, 2011","Dec 16, 2011",SR0245-000
fingolimod,Gilenya,Fingolimod,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Gilenya_Nov-18-11_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/cdr_trans_Gilenya_plr_Mar-1-12.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_gilenya.pdf,"Multiple Sclerosis, relapsing-remitting",List with clinical criteria and/or conditions,Complete,"May 10, 2011","Nov 16, 2011",SR0228-000
denosumab,XGEVA,Denosumab,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Xgeva_Nov-18-11_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/cdr_trans_Xgeva_plr_Mar-8-12.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_XGEVA-Pilot.pdf,Prevention of skeletal-related events due to bone metastases from solid tumours,List with clinical criteria and/or conditions,Complete,"Jun 6, 2011","Nov 16, 2011",SR0235-000
zoledronic acid,Aclasta,Zoledronic acid,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Aclasta-RFA_Nov-18-11_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/cdr_trans_Aclasta_RfA_PLR_April%204-2012.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_aclasta_request-advice.pdf,Osteoporosis,List with clinical criteria and/or conditions,Complete,"Jul 20, 2011","Nov 16, 2011",SF0242-000
boceprevir,Victrelis,Boceprevir,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Victrelis_Oct-26-11.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/cdr_trans_Victrelis_plain-lang-rec_Jan-6-12%20.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Victrelis_Pre-NOC.pdf,"Hepatitis C, chronic",List with clinical criteria and/or conditions,Complete,"May 3, 2011","Oct 24, 2011",SR0231-000
eltrombopag olamine,Revolade,Eltrombopag olamine,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Revolade_Oct-26-11_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/cdr_trans_Revolade_plain-lang-rec_Jan-6-12%20.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_revolade.pdf,Chronic immune thrombocytopenic purpura,Do not list,Complete,"Apr 26, 2011","Oct 24, 2011",SR0230-000
alitretinoin,Toctino,Alitretinoin,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Toctino_October_26_2011.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/cdr_trans_Toctino_plain-lang-rec__Jan-6-12%20.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_toctino.pdf,Eczema,List with clinical criteria and/or conditions,Complete,"May 6, 2011","Oct 24, 2011",SR0232-000
tapentadol,Nucynta CR,Tapentadol,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Nucynta_March-25-2014.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/cdr_trans_Nucynta_CR_PL_Nov-24-11.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Nucynta.pdf,"Pain, moderate to moderately severe",Do not list,Complete,"Feb 1, 2011","Sep 28, 2011",SR0224-000
mometasone furoate and formoterol,Zenhale (inhalation aerosol),Mometasone furoate and formoterol,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_zenhale_Oct-3-11_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/cdr_trans_Zenhale_plr_Dec-6-11.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Zenhale.pdf,Asthma,Do not list,Complete,"Feb 16, 2011","Sep 28, 2011",SR0225-000
buprenorphine transdermal patch,BuTrans,Buprenorphine transdermal patch,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Butrans-September-30-2011.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/cdr_trans_Butrans_PL_Nov-24-11.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_BuTrans_2.pdf,"Pain, moderate intensity persistent pain",Do not list,Complete,"May 9, 2011","Sep 28, 2011",SR0233-000
liraglutide,Victoza,Liraglutide,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete-Victoza-September-30-2011.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/cdr_trans_Victoza_plr_Dec_6-11.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_victoza.pdf,"Diabetes mellitus, Type 2",Do not list,Complete,"Nov 29, 2010","Sep 28, 2011",SR0217-000
roflumilast,Daxas,Roflumilast,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Daxas_August-3-2011_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/cdr_trans_Daxas_pl-Rec_Sept-16-11_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Daxas.pdf,Chronic obstructive pulmonary disease,Do not list,Complete,"Nov 30, 2010","Jul 27, 2011",SR0218-000
cyclosporine,Restasis ophthalmic emulsion,Cyclosporine,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Restatis_Final_July-20-2011_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/cdr_trans_Restasis_plr_Sept-2-11_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Restasis.pdf,Dry eye disease,Do not list,Complete,"Dec 17, 2010","Jul 18, 2011",SR0222-000
maraviroc,Celsentri,Maraviroc,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Celsentri_Final_July-20-2011_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/cdr_trans_Celsentri_pl-rec_Sept-13-11.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Celsentri_TNaive.pdf,HIV infection,Do not list,Complete,"Dec 8, 2010","Jul 18, 2011",SR0221-000
aripiprazole,Abilify,Aripiprazole,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Abilify_July-20-2011_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/cdr_trans_Abilify_plr_Sept-2-11_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Abilify_request-advice.pdf,Schizophrenia and related psychotic disorders,List with clinical criteria and/or conditions,Complete,"Mar 29, 2011","Jul 18, 2011",SF0226-000
aztreonam inhalation solution,Cayston,Aztreonam for inhalation solution,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Cayston_July-20-2011_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/cdr_trans_Cayston_plr_Sept-2-11_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Cayston.pdf,"Cystic fibrosis, chronic pulmonary pseudomonas aeruginosa infections",List with clinical criteria and/or conditions,Complete,"Dec 2, 2010","Jul 18, 2011",SR0220-000
dabigatran etexilate,Pradaxa,Dabigatran etexilate,https://www.cda-amc.ca/sites/default/files/cdr/complete/cdr_complete_Pradax_June-27-11.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/cdr_trans_Pradax_Plain_Lang_Rec_August-19-11_e.pdf; https://www.cda-amc.ca/sites/default/files/cdr/tracking/cdr_tracking_Pradax_AF2.pdf,Atrial fibrillation prevention of stroke and systemic embolism,List with clinical criteria and/or conditions,Complete,"Oct 28, 2010","Jun 22, 2011",SR0214-000
